,UPDRS_1,UPDRS_2,UPDRS_3,UPDRS_4,HAMA,MADRS,ESAPS,CCFQ,Z_MTS,Z_OTS,Z_PAL,Z_RTI,Z_SWM
severity,0.7266292253838855,0.2543876387711573,0.41415340993899313,0.7640483056004583,0.30335687435076925,0.11695120073397311,0.3690695586544386,0.9174960019442192,0.45276624803099746,0.46811428189956983,0.7290530055571082,0.7569906619482054,0.5377941844674797
age,0.8290547581658432,0.24424793583307372,0.09341617049978762,0.7603244101015874,0.7282041327184807,0.09637219262239202,0.3481940651994082,0.7554011512682914,0.9465964868845242,0.42296587907660926,0.507241147362691,0.8085496108697882,0.990382227953841
LED,0.984751017462819,0.2708241999064874,0.13717490239865046,0.21327255113745724,0.5586423797761058,0.47054465588893196,0.9074606174992543,0.49668478333099064,0.7114667360779902,0.9733112711841121,0.437257082127234,0.5832142349898684,0.7343163719362477
11d_util,0.07080670766533441,0.9044281230373243,0.6789267511718852,0.18201614724022488,0.802587930708018,0.40964600392696005,0.6248939261719941,0.24507870501867107,0.6161521507326821,0.19273626493442056,0.6772559942178122,0.5415591015579182,0.17876819390612136
11d_sprit,0.11872220389420386,0.9559178445588964,0.8461719819958529,0.18427132837661855,0.7112701060829654,0.35016536081250765,0.5027405939311348,0.2810592615622607,0.8043573331811158,0.09452900140894585,0.5734774041395303,0.47607016115040646,0.20866968244193002
11d_bliss,0.05193554916121623,0.766521195567522,0.7136849929724437,0.28481061276964387,0.8937394049639039,0.3895758153566289,0.5411031959494922,0.25938539504781044,0.6401601031689723,0.1988820661023749,0.7616317469973756,0.580277259094576,0.1604992666380436
11d_insight,0.19011250551710687,0.573088365761443,0.4129205019214065,0.39112214719386185,0.5732501135725854,0.4741019850063739,0.7737640945370801,0.25459286007719567,0.9410113747480442,0.4761161662940237,0.35170237486890443,0.8652544982455412,0.20283124314719958
11d_dis,0.5323257099073043,0.76997656389402,0.3777436780843346,0.15406272439198873,0.4930920900135236,0.29447257588463904,0.6999333807701708,0.479577586300451,0.3942833507985214,0.15726468703398067,0.6465157343900679,0.21254180408851134,0.0847560972368673
11d_imp,0.3933870847373358,0.448674300109116,0.47053371984418724,0.888948457655594,0.9949227006511117,0.18550506664577576,0.30021592771096534,0.004159060617270572,0.883960173061531,0.06335336454141534,0.37223867135767996,0.9231180819516913,0.718003020545968
11d_anx,0.6379794570504553,0.523990774568201,0.9277799141094392,0.770377469396173,0.8328399633891127,0.146892425694581,0.8488826635804438,0.1890379579585906,0.3510445034388364,0.9897342473350235,0.5116060393339581,0.8160470293255233,0.32697023814300447
11d_cimg,0.34799829634043744,0.6937393009432498,0.3141463181501812,0.4590889154388409,0.8429306058229941,0.7625504568314643,0.13521690683434667,0.4601635867810326,0.2973962807730056,0.33928459346996775,0.9860272976532913,0.5992296548378366,0.057218718733610036
11d_eimg,0.1808923223602337,0.797279759058446,0.5124127535272617,0.5225963703001393,0.0888634234021162,0.9936685976431205,0.41590599500378267,0.24680803540039586,0.7696160169233066,0.7648154922137059,0.33702802941795496,0.05863557597619985,0.8374341771539457
11d_av,0.08855348800248633,0.5191965964767215,0.7602759812210774,0.7524598863261223,0.4382422106377215,0.7206222990816905,0.9925636797339003,0.13294077285462005,0.5408593287090742,0.689588488893127,0.18040863192611545,0.4033705745695995,0.9917949666744319
11d_per,0.6149499100792106,0.8170703702771736,0.4344050282369737,0.5381227234567936,0.7634666459823065,0.7003385451470945,0.7575594657950209,0.21906667466733154,0.6672319159388294,0.5144005262445587,0.7077790613357475,0.20591376454842547,0.1251613977744555
11d_MEAN,0.09700535500678428,0.906337589155285,0.4282867458653794,0.3981600463899475,0.5500423173461343,0.6606116256000907,0.7539934844873306,0.32143248044345296,0.7545121059022233,0.28757516721407117,0.8617777169372025,0.744254128949938,0.11158727165344287
IFN_gamma_delta_A1,0.04805159615422858,0.6454393781687797,0.2834485375905506,0.7270587192323363,0.6210897786132632,0.9229253516273433,0.0959959230107202,0.9190952182815324,0.6385380842970043,0.2028049056176668,0.6981502942659177,0.5488350109535898,0.30179693951306824
IFN_gamma_delta_B1,0.9470030112597388,0.622810111982153,0.8814334389723244,0.12749361966071532,0.17596370242022058,0.16434706517503397,0.7302495197107094,0.9201470988890086,0.7635759313686138,0.9502885088510964,0.4818400891252809,0.6376756333231637,0.4423421596564077
IFN_gamma_delta_B30,0.6147500703654599,0.8021986831080857,0.6916338513714713,0.024186617405853567,0.5737917911920359,0.47744065715097556,0.289426024412455,0.6184341206233367,0.43399764633746696,0.8054850971785334,0.22710071668156676,0.9055612466126935,0.5843304021794505
IL6_delta_A1,0.5755587194758822,0.2775778588984538,0.982445326326576,0.7711760988439496,0.7353698615247997,0.23855366779269938,0.7898744742120599,0.059024782965873136,0.6969001012178017,0.9179635580084868,0.008374405468085532,0.8133879508793695,0.7875790225272283
IL6_delta_B1,0.9563038338518547,0.35691208410447994,0.80815447556029,0.5154343047533394,0.5988453633779451,0.5067058026389952,0.8487430032013175,0.0751114521858876,0.7632540106660934,0.9591350306436109,0.006747323507003979,0.7674617511664767,0.8447821959674874
IL6_delta_B30,0.600699755373363,0.3674514448523002,0.9666286425674657,0.43144455061721104,0.7900355022269193,0.7051156367187891,0.526477521217658,0.4635943775595574,0.6088915647768524,0.6588271209349229,0.028740508354872962,0.808337922417586,0.5490870122370705
IL8_delta_A1,0.4409666679284108,0.8430870900335558,0.5101379016586105,0.014136492703792301,0.01759082263718418,0.07176300067172318,0.7057358070360321,0.6051870871038447,0.07117020246427379,0.27405308570487447,0.4847908250553588,0.9028304234807781,0.409800106351708
IL8_delta_B1,0.3155283041634244,0.5833207864068575,0.5019679006538454,0.11928586816486052,0.011122362214473045,0.051754740200792744,0.5626050918326844,0.37637379203891325,0.1694113696440343,0.4702278937476452,0.5304456366762156,0.6640238616273848,0.32117126255580203
