,UPDRS_1,UPDRS_2,UPDRS_3,UPDRS_4,HAMA,MADRS,ESAPS,CCFQ,Z_MTS,Z_OTS,Z_PAL,Z_RTI,Z_SWM
severity,0.5815114852079422,0.48876983876827085,0.5815114852079422,0.8555284676465171,0.3347642675428819,0.4880740931652481,0.8298963832086543,1.0,0.04473689858238469,0.459023957331249,0.7373055246579552,0.11595087782587783,0.6383612539081289
age,0.2703067111039217,0.33245866879287844,0.12958505832424844,0.3626402279483526,0.7828636615476965,0.5790997419539188,0.1736343578061449,0.2120034309228258,0.9465592891547753,1.0,0.7373055246579552,0.19694994338223504,0.459023957331249
LED,0.3939924737326591,0.05512387409173517,0.08823196931811086,0.44575366289817286,0.5922740583591077,0.3280215047134247,0.9134574688540434,0.39151691977561365,0.5961126657233238,0.07154597258900632,0.7504854193424544,0.3400846081830643,0.45808823471581006
11d_util,0.2703067111039217,1.0,0.40836892116002044,0.14523977920349143,0.7828636615476965,0.0714234577298521,0.7203003305176565,0.16551785869746993,0.7373055246579552,0.459023957331249,0.9465592891547753,0.8405883696421891,0.8405883696421891
11d_sprit,0.2703067111039217,1.0,0.168220073327342,0.14523977920349143,0.5815114852079422,0.037514001615540006,0.6161737890172043,0.05220363534131463,0.5452047007776174,0.6383612539081289,0.5452047007776174,1.0,0.6383612539081289
11d_bliss,0.2149195213707229,1.0,0.2703067111039217,0.3626402279483526,0.7828636615476965,0.0714234577298521,0.5192490622486565,0.26725749315438785,0.5452047007776174,0.459023957331249,0.9465592891547753,0.6383612539081289,0.6383612539081289
11d_insight,0.3347642675428819,0.8898821387667392,0.6793255216523519,0.3626402279483526,0.8904027809514472,0.0960923294556733,0.9429110979224854,0.2120034309228258,0.3108100139957779,0.38070480349126185,1.0,0.5452047007776174,0.9465592891547753
11d_dis,0.40836892116002044,1.0,0.6793255216523519,0.10129195586944142,0.40836892116002044,0.2120034309228258,0.8298963832086543,0.05220363534131463,0.5452047007776174,0.6383612539081289,0.24957952123750735,0.6383612539081289,0.8405883696421891
11d_imp,0.12958505832424844,0.12776200585097755,0.5815114852079422,0.7157547548162908,0.07324046253564928,0.6773916019262776,0.7203003305176565,0.12715299260001428,0.6383612539081289,0.7373055246579552,1.0,0.9465592891547753,0.38070480349126185
11d_anx,0.2703067111039217,0.33245866879287844,0.6793255216523519,0.5849233689227742,0.2703067111039217,0.5790997419539188,0.6161737890172043,0.26725749315438785,0.5452047007776174,0.459023957331249,0.38070480349126185,1.0,0.11595087782587783
11d_cimg,0.835877724639172,0.1105313068126612,0.9449447273584611,0.20164064949193372,0.2404115409890083,0.366297609308498,0.04449262403473314,0.5316746471450233,0.4496025895128464,0.7310931976144446,0.5361739338988774,0.9452010837327357,0.04622906055239071
11d_eimg,0.7828636615476965,0.5797065671072964,0.3347642675428819,0.3626402279483526,1.0,0.7815112949987133,0.9429110979224854,0.6773916019262776,0.0863171145983646,0.3108100139957779,0.9465592891547753,0.06286914699241088,0.459023957331249
11d_av,0.2149195213707229,0.33245866879287844,0.8904027809514472,0.7157547548162908,0.7828636615476965,0.3316850680568625,0.9429110979224854,0.4880740931652481,0.7373055246579552,0.6383612539081289,0.24957952123750735,0.3108100139957779,0.6383612539081289
11d_per,0.12958505832424844,0.8898821387667392,0.6793255216523519,0.2024919497826443,0.7828636615476965,0.26725749315438785,0.9429110979224854,0.3316850680568625,0.8405883696421891,0.5452047007776174,0.8405883696421891,0.9465592891547753,0.9465592891547753
