,UPDRS_1,UPDRS_2,UPDRS_3,UPDRS_4,HAMA,MADRS,ESAPS,CCFQ,Z_MTS,Z_OTS,Z_PAL,Z_RTI,Z_SWM
severity,-0.19649243763030108,-0.2746546979295595,0.1649132958682884,0.009178948540071953,0.28772106938722664,0.25397812923097524,-0.13439891743040652,0.04585716222225941,0.6363636363636365,0.2377622377622378,0.16783216783216784,-0.5314685314685316,-0.18881118881118883
age,-0.277194688799889,-0.2746546979295595,0.40351125584793973,0.3212631989025184,-0.18947485057207605,-0.201066018974522,0.3922995427698353,-0.43740677812001283,0.013986013986013986,0.04895104895104895,0.1258741258741259,-0.4125874125874127,0.1958041958041958
LED,0.21187201507538392,0.71188997065329,0.6144288437186134,-0.27074557691828405,0.23830002988781046,0.4224294900913619,-0.008621010001864528,-0.24255538756437847,-0.1181529261597611,-0.5316881677189249,0.10127393670836664,0.3375797890278888,0.1941083786910361
11d_util,-0.45965195231374006,-0.02112728445611996,0.26315951468343896,-0.4314105813833818,0.11929897998982567,0.5150112064961442,0.09081007934486929,0.41624193401743165,0.10489510489510491,-0.18181818181818185,0.027972027972027972,-0.06293706293706294,0.07692307692307693
11d_sprit,-0.3789497011441521,-0.02112728445611996,0.3754409076150396,-0.4405895299234538,0.18596605704296354,0.6031980569235661,0.11260449838763792,0.5502859466671128,0.2517482517482518,-0.1328671328671329,0.18881118881118883,0.0,0.0979020979020979
11d_bliss,-0.42807281055172736,-0.02112728445611996,0.2666683082125515,-0.26618950766208666,0.11228139293160061,0.5255936285474347,0.18162015868973858,0.3210001355558159,0.18881118881118883,-0.15384615384615385,-0.034965034965034975,-0.1398601398601399,0.1398601398601399
11d_insight,-0.39298487526060216,-0.09507278005253983,0.15087812175183832,-0.26618950766208666,0.04561431587846275,0.5009013104277567,0.047221241259332025,0.402132037949044,0.3706293706293707,-0.16083916083916086,-0.02097902097902098,-0.17482517482517487,-0.04195804195804196
11d_dis,-0.22105399233408873,-0.09507278005253983,0.11929897998982567,-0.47730532408374166,0.1649132958682884,0.39507708991485024,0.0762804666496902,0.5608683687184035,0.2937062937062937,-0.25874125874125875,0.43356643356643365,0.2377622377622378,0.027972027972027972
11d_imp,0.46316074584285255,0.4436729735785192,-0.175439676455626,0.1009684339407915,0.5438629970124405,-0.16226380478645638,-0.14892853012558563,-0.46562657025678783,0.16783216783216784,-0.04195804195804196,0.02097902097902098,0.006993006993006993,0.25874125874125875
11d_anx,0.34035297232391437,0.3697274779820993,-0.010526380587337557,0.17440002226136714,0.36140573349858945,-0.14815390871806886,0.21431178725389152,-0.2998352914532346,0.17482517482517487,-0.2867132867132868,0.30069930069930073,0.07692307692307693,0.5104895104895105
