,UPDRS_1,UPDRS_2,UPDRS_3,UPDRS_4,HAMA,MADRS,ESAPS,CCFQ,Z_MTS,Z_OTS,Z_PAL,Z_RTI,Z_SWM
severity,0.5404881628848959,0.38762285059130586,0.6085196736144101,0.9774137187053094,0.36449392711529216,0.4257057384092434,0.6770900260675699,0.8874642093509264,0.026096891052703127,0.4568008526399232,0.602099427786538,0.07536233505348364,0.5567370561768314
age,0.3830691198629653,0.38762285059130586,0.1933439833274474,0.30857023751902435,0.5553252966401302,0.5309091611157629,0.20719065520324056,0.1550304146392541,0.9655902689187795,0.8799185788786749,0.6966831093957659,0.18256397857316675,0.5419358857313175
LED,0.5841996415501747,0.03145194514604861,0.07831480579799967,0.4810324934740067,0.536929278906086,0.2573507724051198,0.9824385103392297,0.529459354901036,0.7620834303611179,0.1406829222217101,0.7954416654795309,0.37429460976889506,0.6167720908735166
11d_util,0.13273677404711268,0.9480380045464691,0.4085743483645924,0.16142307392596933,0.711912996765272,0.0866291423045845,0.7789611104582028,0.1783314546382164,0.7456094809807079,0.5717012385276553,0.9312343512018808,0.8459309212287789,0.8121826980280591
11d_sprit,0.2244448911413414,0.9480380045464691,0.22911845341491388,0.15170380186479593,0.5628058886194249,0.03785824479907363,0.727519192439744,0.06375973565423011,0.42991878503288405,0.6805975082860818,0.5567370561768314,1.0,0.762121655996299
11d_bliss,0.16505280636941294,0.9480380045464691,0.40211997565989877,0.4029976780922351,0.7282748777285676,0.07926193306124507,0.572127310658131,0.30898911550276786,0.5567370561768314,0.6330906812462618,0.9140933424107598,0.6646331617926677,0.6646331617926677
11d_insight,0.2063274012889209,0.7688287229565663,0.6397398196020827,0.4029976780922351,0.8880568542949202,0.09715448926334834,0.8841362867051173,0.19501568810823092,0.2356210035126457,0.6175234895401425,0.9484022252365223,0.5868236643627043,0.8969858708195542
11d_dis,0.4899204476475655,0.7688287229565663,0.711912996765272,0.11661096970341998,0.6085196736144101,0.20370560898537035,0.8137273288582049,0.05781028662644202,0.35414764123292175,0.41677476889913834,0.1591057694121953,0.4568008526399232,0.9312343512018808
11d_imp,0.1294224979450272,0.14852484474790698,0.5854885829639287,0.7548696619774916,0.06757039826125938,0.6143694573131051,0.6441207094984871,0.12712593865563274,0.602099427786538,0.8969858708195542,0.9484022252365223,0.9827917689028476,0.41677476889913834
11d_anx,0.2790207292337239,0.23685193550334235,0.9740990620508823,0.5877480545478041,0.2483893843495843,0.6458642452622789,0.5035840692554614,0.3437165914134922,0.5868236643627043,0.36625146058358227,0.34225952894002465,0.8121826980280591,0.08991373630263913
11d_cimg,0.7443073026175894,0.14772986247934172,0.9913500851962912,0.26558790700692325,0.24504132486397368,0.31374174144108136,0.048744439854160077,0.5338637326381479,0.4836659657010076,0.8882523316528931,0.6561292074448725,0.9483118884972519,0.05616717538739797
11d_eimg,0.7200804614772964,0.5097974095241318,0.4150801505981112,0.42000906170291485,0.9913652201695151,0.8020814339857414,0.973186894040877,0.6779021664809417,0.13094806950717278,0.37856866966230307,0.9140933424107598,0.06251148327961512,0.35414764123292175
11d_av,0.26344704736133534,0.2667753597986058,0.8794992069651514,0.7548696619774916,0.8453951158628279,0.5457153559319016,1.0,0.5162770340500551,0.9484022252365223,0.8969858708195542,0.2356210035126457,0.27556745095678037,0.6966831093957659
11d_per,0.1294224979450272,0.8704999644022724,0.6476318662945755,0.19290610490261012,0.8031113573515823,0.30898911550276786,0.9285675190586841,0.2407945993690087,0.5868236643627043,0.6646331617926677,0.6330906812462618,0.8290236405313092,0.9655902689187795
11d_MEAN,0.17285123521648893,0.599497869823576,0.8031113573515823,0.35411323039554665,0.5931277409492612,0.1550304146392541,0.6770900260675699,0.2407945993690087,0.6175234895401425,0.7954145018538977,0.8459309212287789,0.5868236643627043,0.8121826980280591
IFN_gamma_delta_A1,0.08054182080979312,0.2949902441700328,0.04480926269300501,0.7220873282432054,0.9315852819957169,0.3326297774630901,0.28598579564368276,0.9657684758679854,0.4879222748387009,0.797971695234851,0.2861051019083129,0.5456987782182727,0.05807305801714863
IFN_gamma_delta_B1,0.7775830437712571,0.7558326362593347,0.9108491685195836,0.07814074941121574,0.8649195587700265,0.7735324033272464,0.3134872142827114,0.6286746732890387,0.1017330374542646,0.8665262706759088,0.38512064355625636,0.11952980613879259,0.8665262706759088
IFN_gamma_delta_B30,0.2949902441700328,0.36602924302380374,0.9488837293174808,0.00657342798334372,0.7301766369627147,0.661435603507216,0.01804078385259666,0.7630703618815533,0.4328453267094823,0.9660548039946861,0.4063970144863861,0.8646897846262037,0.932156735540504
IL6_delta_A1,0.6514014957024814,0.33251710793382766,0.7127617079991629,0.9488805457664998,0.1331385855627235,0.49807110466292026,0.49807110466292026,0.6494102011224531,0.057990318164572716,0.9553740118158807,0.530922861565801,0.9108491685195836,0.07098765432098751
IL6_delta_B1,0.3652020580197782,0.24326991663399547,0.735764859879812,0.698566859664124,0.1650407009726848,0.863253392920131,0.7110725947268532,0.7558326362593347,0.1389599571607067,0.6103444156452669,0.1017330374542646,0.2894032248467901,0.5701563208157683
IL6_delta_B30,0.9318728062136596,0.18535381786420974,0.6828398157150526,0.3321830741550006,0.41540715508978243,0.5519004761567832,0.40906292820776924,0.8635564688805591,0.03576957497026169,0.8646897846262037,0.8983528043506301,0.2861051019083129,0.5456987782182727
IL8_delta_A1,0.9148857180816652,0.9659125418111234,0.813794310413029,0.16557420585548727,0.1663127256715028,0.521936881934778,0.8789670269093685,0.025215384202334185,0.831214097710308,0.26458604674749614,0.03576957497026169,0.4063970144863861,0.46003032896571994
IL8_delta_B1,0.2861957348053604,0.30126663266334436,0.9108491685195836,0.6036450565101361,0.6473844523388661,0.7294239249593866,0.9548334873494593,0.009323115735056061,0.6103444156452669,0.028004939153071794,0.260404767436885,0.4927262450169573,0.3198886412288162
