measure,t,t.p,w,w.p
dia,-2.228,0.0477,16.0,0.0771
hr,-2.713,0.0202,10.5,0.021
sys,-3.391,0.006,6.0,0.0068
temp,-0.075,0.9417,36.5,0.8501
