measure,t,t.p,w,w.p
dia,-1.323,0.2128,19.0,0.1294
hr,-2.532,0.0279,10.0,0.021
sys,-1.25,0.2371,20.0,0.1514
temp,-0.337,0.7426,33.0,1.0
