"measure","tp","pred","pearson_cor","spearman_rho","kendall_tau","pearson_p","spearman_p","kendall_p","pearson_sig","spearman_sig","kendall_sig"
"MTSRFAMD","bsl","fivedasc_eimg_total",NA,NA,NA,NA,NA,NA,NA,NA,NA
"MTSRFAMD","bsl","fivedasc_av_total",NA,NA,NA,NA,NA,NA,NA,NA,NA
"MTSRFAMD","bsl","fivedasc_per_total",NA,NA,NA,NA,NA,NA,NA,NA,NA
"MTSRFAMD","bsl","boundlessMean",NA,NA,NA,NA,NA,NA,NA,NA,NA
"MTSRFAMD","bsl","anxiousEgoMean",NA,NA,NA,NA,NA,NA,NA,NA,NA
"MTSRFAMD","bsl","visionaryMean",NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTSMDLFC","A7","age",0.387,0.42,0.333,0.214,0.177,0.153,"","",""
"OTSMDLFC","A7","LED",-0.321,-0.295,-0.203,0.4,0.44,0.458,"","",""
"OTSMDLFC","A7","severity",0.244,0.322,0.212,0.445,0.308,0.381,"","",""
"OTSMDLFC","A7","fivedasc_util_total",0.132,0.147,0.091,0.684,0.651,0.737,"","",""
"OTSMDLFC","A7","fivedasc_sprit_total",0.065,0.147,0.091,0.84,0.651,0.737,"","",""
"OTSMDLFC","A7","fivedasc_bliss_total",0.169,0.301,0.212,0.599,0.342,0.381,"","",""
"OTSMDLFC","A7","fivedasc_insight_total",0.151,0.357,0.242,0.639,0.256,0.311,"","",""
"OTSMDLFC","A7","fivedasc_dis_total",-0.076,0.014,0.03,0.814,0.974,0.947,"","",""
"OTSMDLFC","A7","fivedasc_imp_total",-0.509,-0.483,-0.364,0.091,0.115,0.116,"","",""
"OTSMDLFC","A7","fivedasc_anx_total",-0.549,-0.406,-0.273,0.065,0.193,0.25,"","",""
"OTSMDLFC","A7","fivedasc_cimg_total",-0.217,-0.133,-0.076,0.497,0.68,0.731,"","",""
"OTSMDLFC","A7","fivedasc_eimg_total",0.061,0.098,0.091,0.852,0.766,0.737,"","",""
"OTSMDLFC","A7","fivedasc_av_total",-0.018,-0.112,-0.03,0.955,0.733,0.947,"","",""
"OTSMDLFC","A7","fivedasc_per_total",0.276,0.238,0.121,0.385,0.457,0.638,"","",""
"OTSMDLFC","A7","boundlessMean",0.133,0.196,0.121,0.68,0.543,0.638,"","",""
"OTSMDLFC","A7","anxiousEgoMean",-0.512,-0.329,-0.182,0.089,0.297,0.459,"","",""
"OTSMDLFC","A7","visionaryMean",0.06,0.112,0.091,0.854,0.733,0.737,"","",""
"OTSMDLFC","B30","age",0.281,0.336,0.303,0.377,0.287,0.197,"","",""
"OTSMDLFC","B30","LED",-0.644,-0.734,-0.609,0.061,0.024,0.026,"","*","*"
"OTSMDLFC","B30","severity",0.304,0.224,0.182,0.336,0.485,0.459,"","",""
"OTSMDLFC","B30","fivedasc_util_total",-0.716,-0.713,-0.545,0.009,0.012,0.014,"**","*","*"
"OTSMDLFC","B30","fivedasc_sprit_total",-0.682,-0.636,-0.424,0.015,0.03,0.063,"*","*",""
"OTSMDLFC","B30","fivedasc_bliss_total",-0.66,-0.622,-0.485,0.019,0.035,0.031,"*","*","*"
"OTSMDLFC","B30","fivedasc_insight_total",-0.582,-0.531,-0.394,0.047,0.079,0.086,"*","",""
"OTSMDLFC","B30","fivedasc_dis_total",-0.352,-0.476,-0.303,0.262,0.121,0.197,"","",""
"OTSMDLFC","B30","fivedasc_imp_total",0.188,0.133,0.03,0.558,0.683,0.947,"","",""
"OTSMDLFC","B30","fivedasc_anx_total",0.073,0.042,0,0.822,0.904,1,"","",""
"OTSMDLFC","B30","fivedasc_cimg_total",-0.244,-0.284,-0.198,0.445,0.372,0.372,"","",""
"OTSMDLFC","B30","fivedasc_eimg_total",-0.421,-0.322,-0.242,0.173,0.308,0.311,"","",""
"OTSMDLFC","B30","fivedasc_av_total",-0.781,-0.685,-0.485,0.003,0.017,0.031,"**","*","*"
"OTSMDLFC","B30","fivedasc_per_total",-0.511,-0.601,-0.455,0.09,0.043,0.045,"","*","*"
"OTSMDLFC","B30","boundlessMean",-0.677,-0.664,-0.515,0.016,0.022,0.021,"*","*","*"
"OTSMDLFC","B30","anxiousEgoMean",-0.148,-0.413,-0.333,0.645,0.184,0.153,"","",""
"OTSMDLFC","B30","visionaryMean",-0.691,-0.664,-0.485,0.013,0.022,0.031,"*","*","*"
"OTSMDLFC","B7","age",0.135,0.063,0.03,0.676,0.852,0.947,"","",""
"OTSMDLFC","B7","LED",-0.096,-0.253,-0.203,0.806,0.511,0.458,"","",""
"OTSMDLFC","B7","severity",0.116,-0.035,-0.03,0.719,0.921,0.947,"","",""
"OTSMDLFC","B7","fivedasc_util_total",-0.236,-0.238,-0.152,0.461,0.457,0.545,"","",""
"OTSMDLFC","B7","fivedasc_sprit_total",-0.197,-0.224,-0.091,0.54,0.485,0.737,"","",""
"OTSMDLFC","B7","fivedasc_bliss_total",-0.227,-0.14,-0.091,0.477,0.667,0.737,"","",""
"OTSMDLFC","B7","fivedasc_insight_total",0.05,-0.112,-0.061,0.878,0.733,0.841,"","",""
"OTSMDLFC","B7","fivedasc_dis_total",-0.187,-0.14,-0.091,0.56,0.667,0.737,"","",""
"OTSMDLFC","B7","fivedasc_imp_total",0.16,0.126,0.061,0.62,0.7,0.841,"","",""
"OTSMDLFC","B7","fivedasc_anx_total",0.141,0.168,0.091,0.662,0.604,0.737,"","",""
"OTSMDLFC","B7","fivedasc_cimg_total",-0.109,-0.067,-0.046,0.737,0.837,0.837,"","",""
"OTSMDLFC","B7","fivedasc_eimg_total",-0.196,-0.231,-0.212,0.541,0.471,0.381,"","",""
"OTSMDLFC","B7","fivedasc_av_total",-0.457,-0.503,-0.333,0.135,0.099,0.153,"","",""
"OTSMDLFC","B7","fivedasc_per_total",-0.118,-0.175,-0.121,0.716,0.588,0.638,"","",""
"OTSMDLFC","B7","boundlessMean",-0.161,-0.21,-0.121,0.618,0.514,0.638,"","",""
"OTSMDLFC","B7","anxiousEgoMean",-0.008,0.028,-0.061,0.981,0.939,0.841,"","",""
"OTSMDLFC","B7","visionaryMean",-0.31,-0.252,-0.152,0.327,0.43,0.545,"","",""
"OTSMDLFC","bsl","age",NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTSMDLFC","bsl","LED",NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTSMDLFC","bsl","severity",NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTSMDLFC","bsl","fivedasc_util_total",NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTSMDLFC","bsl","fivedasc_sprit_total",NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTSMDLFC","bsl","fivedasc_bliss_total",NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTSMDLFC","bsl","fivedasc_insight_total",NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTSMDLFC","bsl","fivedasc_dis_total",NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTSMDLFC","bsl","fivedasc_imp_total",NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTSMDLFC","bsl","fivedasc_anx_total",NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTSMDLFC","bsl","fivedasc_cimg_total",NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTSMDLFC","bsl","fivedasc_eimg_total",NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTSMDLFC","bsl","fivedasc_av_total",NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTSMDLFC","bsl","fivedasc_per_total",NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTSMDLFC","bsl","boundlessMean",NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTSMDLFC","bsl","anxiousEgoMean",NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTSMDLFC","bsl","visionaryMean",NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTSPSFC","A7","age",-0.059,-0.011,0,0.855,0.974,1,"","",""
"OTSPSFC","A7","LED",-0.286,-0.416,-0.313,0.456,0.266,0.275,"","",""
"OTSPSFC","A7","severity",-0.047,0.036,0.032,0.885,0.913,0.888,"","",""
"OTSPSFC","A7","fivedasc_util_total",-0.145,-0.153,-0.129,0.653,0.635,0.575,"","",""
"OTSPSFC","A7","fivedasc_sprit_total",-0.094,-0.149,-0.129,0.771,0.643,0.575,"","",""
"OTSPSFC","A7","fivedasc_bliss_total",-0.134,-0.185,-0.194,0.677,0.565,0.4,"","",""
"OTSPSFC","A7","fivedasc_insight_total",0.054,-0.103,-0.097,0.867,0.75,0.674,"","",""
"OTSPSFC","A7","fivedasc_dis_total",-0.235,-0.249,-0.162,0.463,0.435,0.483,"","",""
"OTSPSFC","A7","fivedasc_imp_total",-0.024,-0.132,-0.097,0.941,0.683,0.674,"","",""
"OTSPSFC","A7","fivedasc_anx_total",0.34,0.1,0.097,0.28,0.758,0.674,"","",""
"OTSPSFC","A7","fivedasc_cimg_total",0.174,0.093,0.081,0.589,0.774,0.725,"","",""
"OTSPSFC","A7","fivedasc_eimg_total",0.453,0.399,0.259,0.14,0.199,0.262,"","",""
"OTSPSFC","A7","fivedasc_av_total",0.132,0.174,0.129,0.683,0.588,0.575,"","",""
"OTSPSFC","A7","fivedasc_per_total",-0.42,-0.26,-0.194,0.174,0.415,0.4,"","",""
"OTSPSFC","A7","boundlessMean",-0.085,-0.171,-0.162,0.794,0.595,0.483,"","",""
"OTSPSFC","A7","anxiousEgoMean",-0.017,-0.121,-0.065,0.959,0.708,0.779,"","",""
"OTSPSFC","A7","visionaryMean",0.118,0.149,0.097,0.716,0.643,0.674,"","",""
"OTSPSFC","B30","age",0.371,0.069,0.034,0.235,0.832,0.886,"","",""
"OTSPSFC","B30","LED",0.042,0.199,0.162,0.915,0.607,0.576,"","",""
"OTSPSFC","B30","severity",0.091,-0.185,-0.168,0.779,0.565,0.474,"","",""
"OTSPSFC","B30","fivedasc_util_total",-0.243,-0.145,-0.134,0.447,0.653,0.567,"","",""
"OTSPSFC","B30","fivedasc_sprit_total",-0.198,-0.102,-0.101,0.538,0.754,0.668,"","",""
"OTSPSFC","B30","fivedasc_bliss_total",-0.231,-0.109,-0.067,0.47,0.737,0.775,"","",""
"OTSPSFC","B30","fivedasc_insight_total",0.045,-0.091,-0.067,0.888,0.779,0.775,"","",""
"OTSPSFC","B30","fivedasc_dis_total",-0.001,0.134,0.067,0.997,0.678,0.775,"","",""
"OTSPSFC","B30","fivedasc_imp_total",0.111,0.152,0.101,0.73,0.637,0.668,"","",""
"OTSPSFC","B30","fivedasc_anx_total",0.214,0.373,0.235,0.505,0.232,0.316,"","",""
"OTSPSFC","B30","fivedasc_cimg_total",-0.272,-0.102,-0.084,0.392,0.753,0.72,"","",""
"OTSPSFC","B30","fivedasc_eimg_total",-0.049,-0.218,-0.168,0.88,0.497,0.474,"","",""
"OTSPSFC","B30","fivedasc_av_total",-0.468,-0.587,-0.503,0.125,0.045,0.032,"","*","*"
"OTSPSFC","B30","fivedasc_per_total",-0.065,-0.109,-0.134,0.842,0.737,0.567,"","",""
"OTSPSFC","B30","boundlessMean",-0.165,-0.145,-0.134,0.609,0.653,0.567,"","",""
"OTSPSFC","B30","anxiousEgoMean",0.144,0.359,0.201,0.655,0.252,0.391,"","",""
"OTSPSFC","B30","visionaryMean",-0.281,-0.243,-0.168,0.377,0.447,0.474,"","",""
"OTSPSFC","B7","age",0.373,0.082,0.065,0.233,0.8,0.779,"","",""
"OTSPSFC","B7","LED",-0.128,-0.044,-0.032,0.743,0.911,0.912,"","",""
"OTSPSFC","B7","severity",-0.07,-0.114,-0.097,0.83,0.724,0.674,"","",""
"OTSPSFC","B7","fivedasc_util_total",0.084,0.05,0.065,0.796,0.878,0.779,"","",""
"OTSPSFC","B7","fivedasc_sprit_total",0.215,0.153,0.129,0.502,0.635,0.575,"","",""
"OTSPSFC","B7","fivedasc_bliss_total",0.089,0.089,0.065,0.783,0.783,0.779,"","",""
"OTSPSFC","B7","fivedasc_insight_total",0.255,0.093,0.097,0.424,0.775,0.674,"","",""
"OTSPSFC","B7","fivedasc_dis_total",0.166,0.214,0.162,0.607,0.505,0.483,"","",""
"OTSPSFC","B7","fivedasc_imp_total",-0.297,-0.221,-0.162,0.348,0.491,0.483,"","",""
"OTSPSFC","B7","fivedasc_anx_total",0.163,0.146,0.065,0.613,0.651,0.779,"","",""
"OTSPSFC","B7","fivedasc_cimg_total",0.14,0.08,0.114,0.664,0.804,0.623,"","",""
"OTSPSFC","B7","fivedasc_eimg_total",-0.307,-0.281,-0.194,0.332,0.376,0.4,"","",""
"OTSPSFC","B7","fivedasc_av_total",-0.407,-0.456,-0.356,0.189,0.137,0.123,"","",""
"OTSPSFC","B7","fivedasc_per_total",0.048,-0.007,0,0.882,0.982,1,"","",""
"OTSPSFC","B7","boundlessMean",0.162,0.089,0.097,0.614,0.783,0.674,"","",""
"OTSPSFC","B7","anxiousEgoMean",0.085,0.224,0.194,0.792,0.484,0.4,"","",""
"OTSPSFC","B7","visionaryMean",-0.209,-0.146,-0.065,0.514,0.651,0.779,"","",""
"OTSPSFC","bsl","age",NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTSPSFC","bsl","LED",NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTSPSFC","bsl","severity",NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTSPSFC","bsl","fivedasc_util_total",NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTSPSFC","bsl","fivedasc_sprit_total",NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTSPSFC","bsl","fivedasc_bliss_total",NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTSPSFC","bsl","fivedasc_insight_total",NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTSPSFC","bsl","fivedasc_dis_total",NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTSPSFC","bsl","fivedasc_imp_total",NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTSPSFC","bsl","fivedasc_anx_total",NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTSPSFC","bsl","fivedasc_cimg_total",NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTSPSFC","bsl","fivedasc_eimg_total",NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTSPSFC","bsl","fivedasc_av_total",NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTSPSFC","bsl","fivedasc_per_total",NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTSPSFC","bsl","boundlessMean",NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTSPSFC","bsl","anxiousEgoMean",NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTSPSFC","bsl","visionaryMean",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PALFAMS","A7","age",-0.439,-0.291,-0.215,0.153,0.358,0.335,"","",""
"PALFAMS","A7","LED",-0.134,-0.089,-0.03,0.732,0.819,0.915,"","",""
"PALFAMS","A7","severity",-0.233,-0.249,-0.246,0.467,0.435,0.27,"","",""
"PALFAMS","A7","fivedasc_util_total",0.114,0.077,0.062,0.725,0.812,0.783,"","",""
"PALFAMS","A7","fivedasc_sprit_total",-0.036,-0.042,-0.062,0.911,0.897,0.783,"","",""
"PALFAMS","A7","fivedasc_bliss_total",0.091,0.074,0.062,0.778,0.82,0.783,"","",""
"PALFAMS","A7","fivedasc_insight_total",-0.009,0.175,0.092,0.978,0.585,0.679,"","",""
"PALFAMS","A7","fivedasc_dis_total",-0.133,-0.147,-0.185,0.68,0.648,0.408,"","",""
"PALFAMS","A7","fivedasc_imp_total",-0.378,-0.365,-0.246,0.225,0.243,0.27,"","",""
"PALFAMS","A7","fivedasc_anx_total",-0.45,-0.407,-0.277,0.142,0.189,0.215,"","",""
"PALFAMS","A7","fivedasc_cimg_total",-0.145,-0.047,-0.078,0.654,0.884,0.73,"","",""
"PALFAMS","A7","fivedasc_eimg_total",0.494,0.505,0.369,0.102,0.094,0.098,"","",""
"PALFAMS","A7","fivedasc_av_total",0.671,0.628,0.492,0.017,0.029,0.027,"*","*","*"
"PALFAMS","A7","fivedasc_per_total",0.412,0.214,0.092,0.184,0.504,0.679,"","",""
"PALFAMS","A7","boundlessMean",0.042,0.07,0.031,0.897,0.828,0.89,"","",""
"PALFAMS","A7","anxiousEgoMean",-0.456,-0.421,-0.277,0.136,0.173,0.215,"","",""
"PALFAMS","A7","visionaryMean",0.542,0.6,0.492,0.069,0.039,0.027,"","*","*"
"PALFAMS","B30","age",-0.486,-0.283,-0.191,0.109,0.372,0.403,"","",""
"PALFAMS","B30","LED",0.242,0.187,0.149,0.53,0.63,0.592,"","",""
"PALFAMS","B30","severity",-0.158,-0.255,-0.159,0.624,0.424,0.486,"","",""
"PALFAMS","B30","fivedasc_util_total",0.276,0.177,0.127,0.385,0.582,0.577,"","",""
"PALFAMS","B30","fivedasc_sprit_total",0.098,0.011,0,0.761,0.974,1,"","",""
"PALFAMS","B30","fivedasc_bliss_total",0.273,0.184,0.127,0.39,0.567,0.577,"","",""
"PALFAMS","B30","fivedasc_insight_total",0.101,0.149,0.095,0.754,0.645,0.676,"","",""
"PALFAMS","B30","fivedasc_dis_total",-0.23,-0.276,-0.191,0.472,0.385,0.403,"","",""
"PALFAMS","B30","fivedasc_imp_total",-0.064,-0.046,-0.032,0.842,0.887,0.889,"","",""
"PALFAMS","B30","fivedasc_anx_total",-0.367,-0.28,-0.191,0.241,0.379,0.403,"","",""
"PALFAMS","B30","fivedasc_cimg_total",-0.07,-0.041,-0.016,0.83,0.9,0.944,"","",""
"PALFAMS","B30","fivedasc_eimg_total",0.253,0.173,0.159,0.427,0.59,0.486,"","",""
"PALFAMS","B30","fivedasc_av_total",0.647,0.612,0.509,0.023,0.034,0.026,"*","*","*"
"PALFAMS","B30","fivedasc_per_total",0.342,0.287,0.191,0.276,0.366,0.403,"","",""
"PALFAMS","B30","boundlessMean",0.194,0.145,0.095,0.546,0.653,0.676,"","",""
"PALFAMS","B30","anxiousEgoMean",-0.367,-0.227,-0.095,0.24,0.479,0.676,"","",""
"PALFAMS","B30","visionaryMean",0.434,0.453,0.318,0.159,0.139,0.163,"","",""
"PALFAMS","B7","age",-0.282,-0.122,-0.082,0.375,0.706,0.724,"","",""
"PALFAMS","B7","LED",-0.157,0.04,0.032,0.686,0.919,0.911,"","",""
"PALFAMS","B7","severity",-0.288,-0.276,-0.277,0.364,0.385,0.23,"","",""
"PALFAMS","B7","fivedasc_util_total",0.006,0.05,0.016,0.985,0.877,0.944,"","",""
"PALFAMS","B7","fivedasc_sprit_total",-0.097,-0.043,-0.082,0.765,0.894,0.724,"","",""
"PALFAMS","B7","fivedasc_bliss_total",0.012,0.061,0.016,0.97,0.851,0.944,"","",""
"PALFAMS","B7","fivedasc_insight_total",-0.17,0.1,0.049,0.598,0.756,0.832,"","",""
"PALFAMS","B7","fivedasc_dis_total",-0.145,-0.136,-0.179,0.654,0.673,0.437,"","",""
"PALFAMS","B7","fivedasc_imp_total",-0.368,-0.28,-0.245,0.24,0.379,0.289,"","",""
"PALFAMS","B7","fivedasc_anx_total",-0.292,-0.229,-0.147,0.357,0.473,0.525,"","",""
"PALFAMS","B7","fivedasc_cimg_total",-0.017,0.156,0.131,0.959,0.628,0.571,"","",""
"PALFAMS","B7","fivedasc_eimg_total",0.416,0.484,0.375,0.179,0.111,0.104,"","",""
"PALFAMS","B7","fivedasc_av_total",0.576,0.613,0.473,0.05,0.034,0.04,"*","*","*"
"PALFAMS","B7","fivedasc_per_total",0.287,0.158,0.082,0.366,0.624,0.724,"","",""
"PALFAMS","B7","boundlessMean",-0.061,0.05,0.016,0.851,0.877,0.944,"","",""
"PALFAMS","B7","anxiousEgoMean",-0.385,-0.28,-0.179,0.217,0.379,0.437,"","",""
"PALFAMS","B7","visionaryMean",0.466,0.556,0.473,0.127,0.061,0.04,"","","*"
"PALFAMS","bsl","age",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PALFAMS","bsl","LED",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PALFAMS","bsl","severity",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PALFAMS","bsl","fivedasc_util_total",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PALFAMS","bsl","fivedasc_sprit_total",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PALFAMS","bsl","fivedasc_bliss_total",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PALFAMS","bsl","fivedasc_insight_total",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PALFAMS","bsl","fivedasc_dis_total",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PALFAMS","bsl","fivedasc_imp_total",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PALFAMS","bsl","fivedasc_anx_total",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PALFAMS","bsl","fivedasc_cimg_total",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PALFAMS","bsl","fivedasc_eimg_total",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PALFAMS","bsl","fivedasc_av_total",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PALFAMS","bsl","fivedasc_per_total",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PALFAMS","bsl","boundlessMean",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PALFAMS","bsl","anxiousEgoMean",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PALFAMS","bsl","visionaryMean",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PALTEA","A7","age",-0.209,-0.47,-0.339,0.514,0.123,0.13,"","",""
"PALTEA","A7","LED",0.783,0.81,0.667,0.012,0.008,0.015,"*","**","*"
"PALTEA","A7","severity",-0.34,-0.225,-0.185,0.279,0.483,0.408,"","",""
"PALTEA","A7","fivedasc_util_total",0.399,0.474,0.369,0.198,0.12,0.098,"","",""
"PALTEA","A7","fivedasc_sprit_total",0.504,0.519,0.431,0.095,0.084,0.054,"","",""
"PALTEA","A7","fivedasc_bliss_total",0.29,0.354,0.246,0.36,0.258,0.27,"","",""
"PALTEA","A7","fivedasc_insight_total",0.417,0.274,0.215,0.178,0.389,0.335,"","",""
"PALTEA","A7","fivedasc_dis_total",0.449,0.533,0.369,0.143,0.074,0.098,"","",""
"PALTEA","A7","fivedasc_imp_total",0.239,0.137,0.092,0.454,0.672,0.679,"","",""
"PALTEA","A7","fivedasc_anx_total",0.341,0.256,0.215,0.278,0.422,0.335,"","",""
"PALTEA","A7","fivedasc_cimg_total",0.186,0.211,0.14,0.564,0.511,0.534,"","",""
"PALTEA","A7","fivedasc_eimg_total",-0.144,-0.049,-0.031,0.656,0.879,0.89,"","",""
"PALTEA","A7","fivedasc_av_total",0.098,0.053,0.031,0.761,0.871,0.89,"","",""
"PALTEA","A7","fivedasc_per_total",0.201,0.218,0.154,0.532,0.497,0.491,"","",""
"PALTEA","A7","boundlessMean",0.41,0.446,0.339,0.186,0.147,0.13,"","",""
"PALTEA","A7","anxiousEgoMean",0.58,0.596,0.431,0.048,0.041,0.054,"*","*",""
"PALTEA","A7","visionaryMean",0.101,0.126,0.062,0.756,0.696,0.783,"","",""
"PALTEA","B30","age",0.064,-0.084,-0.046,0.842,0.795,0.837,"","",""
"PALTEA","B30","LED",0.287,0.496,0.294,0.454,0.175,0.287,"","",""
"PALTEA","B30","severity",-0.197,-0.081,-0.107,0.54,0.803,0.63,"","",""
"PALTEA","B30","fivedasc_util_total",0.06,0.333,0.229,0.852,0.291,0.303,"","",""
"PALTEA","B30","fivedasc_sprit_total",0.183,0.417,0.29,0.57,0.178,0.192,"","",""
"PALTEA","B30","fivedasc_bliss_total",-0.012,0.214,0.107,0.971,0.505,0.63,"","",""
"PALTEA","B30","fivedasc_insight_total",0.04,0.165,0.076,0.901,0.609,0.731,"","",""
"PALTEA","B30","fivedasc_dis_total",0.385,0.501,0.321,0.216,0.097,0.149,"","",""
"PALTEA","B30","fivedasc_imp_total",0.023,-0.151,-0.137,0.944,0.64,0.536,"","",""
"PALTEA","B30","fivedasc_anx_total",0.253,0.112,0.076,0.427,0.729,0.731,"","",""
"PALTEA","B30","fivedasc_cimg_total",0.077,0.126,0.123,0.811,0.696,0.582,"","",""
"PALTEA","B30","fivedasc_eimg_total",0.042,0.06,0.046,0.897,0.854,0.837,"","",""
"PALTEA","B30","fivedasc_av_total",-0.002,0.004,0.046,0.995,0.991,0.837,"","",""
"PALTEA","B30","fivedasc_per_total",-0.026,0.081,0.015,0.935,0.803,0.945,"","",""
"PALTEA","B30","boundlessMean",0.068,0.312,0.198,0.833,0.324,0.372,"","",""
"PALTEA","B30","anxiousEgoMean",0.41,0.35,0.229,0.186,0.264,0.303,"","",""
"PALTEA","B30","visionaryMean",0.027,0.049,0.046,0.935,0.88,0.837,"","",""
"PALTEA","B7","age",-0.012,-0.252,-0.168,0.97,0.429,0.45,"","",""
"PALTEA","B7","LED",0.488,0.194,0.087,0.183,0.617,0.75,"","",""
"PALTEA","B7","severity",-0.276,-0.27,-0.198,0.385,0.397,0.372,"","",""
"PALTEA","B7","fivedasc_util_total",0.342,0.277,0.168,0.277,0.384,0.45,"","",""
"PALTEA","B7","fivedasc_sprit_total",0.26,0.165,0.107,0.415,0.609,0.63,"","",""
"PALTEA","B7","fivedasc_bliss_total",0.264,0.245,0.168,0.407,0.442,0.45,"","",""
"PALTEA","B7","fivedasc_insight_total",0.401,0.196,0.137,0.196,0.541,0.536,"","",""
"PALTEA","B7","fivedasc_dis_total",0.087,0.102,0.107,0.788,0.753,0.63,"","",""
"PALTEA","B7","fivedasc_imp_total",-0.007,-0.116,-0.076,0.982,0.721,0.731,"","",""
"PALTEA","B7","fivedasc_anx_total",-0.04,-0.07,-0.046,0.901,0.829,0.837,"","",""
"PALTEA","B7","fivedasc_cimg_total",-0.046,-0.109,-0.031,0.887,0.736,0.89,"","",""
"PALTEA","B7","fivedasc_eimg_total",0.048,0,-0.015,0.883,1,0.945,"","",""
"PALTEA","B7","fivedasc_av_total",0.082,0.018,0.046,0.799,0.957,0.837,"","",""
"PALTEA","B7","fivedasc_per_total",0.251,0.161,0.137,0.43,0.617,0.536,"","",""
"PALTEA","B7","boundlessMean",0.322,0.224,0.137,0.308,0.484,0.536,"","",""
"PALTEA","B7","anxiousEgoMean",0.041,0.088,0.107,0.899,0.787,0.63,"","",""
"PALTEA","B7","visionaryMean",0.127,0.217,0.168,0.695,0.498,0.45,"","",""
"PALTEA","bsl","age",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PALTEA","bsl","LED",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PALTEA","bsl","severity",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PALTEA","bsl","fivedasc_util_total",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PALTEA","bsl","fivedasc_sprit_total",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PALTEA","bsl","fivedasc_bliss_total",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PALTEA","bsl","fivedasc_insight_total",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PALTEA","bsl","fivedasc_dis_total",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PALTEA","bsl","fivedasc_imp_total",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PALTEA","bsl","fivedasc_anx_total",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PALTEA","bsl","fivedasc_cimg_total",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PALTEA","bsl","fivedasc_eimg_total",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PALTEA","bsl","fivedasc_av_total",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PALTEA","bsl","fivedasc_per_total",NA,NA,NA,NA,NA,NA,NA,NA,NA
