"measure","tp","est","SE","hedges.g","df","t.value","p.value","sig","adj.p.value","adj.sig"
"UPDRS_SUM","(Intercept)",76.33,5.56,"",12.6,13.74,"<0.001","***","<0.001","***"
"UPDRS_SUM","tp(A7)",-18.67,2.33,"",33,-8.02,"<0.001","***","<0.001","***"
"UPDRS_SUM","tp(B7)",-24.42,2.33,"",33,-10.49,"<0.001","***","<0.001","***"
"UPDRS_SUM","tp(B30)",-26.42,2.33,"",33,-11.35,"<0.001","***","<0.001","***"
"NPIQ_DIS","(Intercept)",7.67,1.23,"",32.5,6.21,"<0.001","***","<0.001","***"
"NPIQ_DIS","tp(A7)",-3.25,1.33,"-0.63",44,-2.44,"0.019","*","0.038","*"
"NPIQ_DIS","tp(B7)",-5.33,1.33,"-1.1",44,-4,"<0.001","***","<0.001","***"
"NPIQ_DIS","tp(B30)",-3.5,1.33,"-0.76",44,-2.63,"0.012","*","0.024","*"
"NPIQ_DIS","tp(B90)",-6.17,1.33,"-1.59",44,-4.63,"<0.001","***","<0.001","***"
"NPIQ_SEV","(Intercept)",6.75,0.82,"",37.8,8.2,"<0.001","***","<0.001","***"
"NPIQ_SEV","tp(A7)",-3.67,0.95,"-1.06",44,-3.87,"<0.001","***","<0.001","***"
"NPIQ_SEV","tp(B7)",-5.08,0.95,"-1.45",44,-5.37,"<0.001","***","<0.001","***"
"NPIQ_SEV","tp(B30)",-4.08,0.95,"-1.27",44,-4.31,"<0.001","***","<0.001","***"
"NPIQ_SEV","tp(B90)",-5.17,0.95,"-1.76",44,-5.45,"<0.001","***","<0.001","***"
