"measure","tp","est","SE","df","t.value","p.value","sig"
"UPDRS_4","tp(A7):fivedasc_insight_total",-0.01,0.01,25.2,-1.15,"0.262",""
"UPDRS_4","tp(B7):fivedasc_insight_total",-0.02,0.01,25.2,-1.86,"0.075",""
"UPDRS_4","tp(B30):fivedasc_insight_total",-0.02,0.01,25.3,-1.44,"0.163",""
"UPDRS_4","(Intercept)",-1.43,1.1,13.8,-1.3,"0.215",""
"UPDRS_4","tp(A7)",0.54,0.66,25.2,0.82,"0.421",""
"UPDRS_4","tp(B7)",1.16,0.63,25.2,1.85,"0.076",""
"UPDRS_4","tp(B30)",0.85,0.74,25.5,1.15,"0.262",""
"UPDRS_4","fivedasc_dis_total",0.06,0.02,14.6,3.06,"0.008","**"
"UPDRS_4","tp(A7):fivedasc_dis_total",-0.02,0.01,25.2,-1.92,"0.066",""
"UPDRS_4","tp(B7):fivedasc_dis_total",-0.04,0.01,25.2,-3.3,"0.003","**"
"UPDRS_4","tp(B30):fivedasc_dis_total",-0.03,0.01,25.5,-2.41,"0.023","*"
"UPDRS_4","(Intercept)",1.57,1.14,13.2,1.37,"0.193",""
"UPDRS_4","tp(A7)",-0.01,0.7,25.3,-0.01,"0.989",""
"UPDRS_4","tp(B7)",-0.62,0.63,25.2,-0.99,"0.334",""
"UPDRS_4","tp(B30)",-0.6,0.65,25.2,-0.92,"0.367",""
"UPDRS_4","fivedasc_imp_total",0,0.05,14,-0.06,"0.956",""
"UPDRS_4","tp(A7):fivedasc_imp_total",-0.02,0.03,25.4,-0.77,"0.448",""
"UPDRS_4","tp(B7):fivedasc_imp_total",0,0.03,25.2,-0.1,"0.919",""
"UPDRS_4","tp(B30):fivedasc_imp_total",0,0.03,25.2,-0.18,"0.859",""
"UPDRS_4","(Intercept)",2,0.98,13.6,2.04,"0.061",""
"UPDRS_4","tp(A7)",-0.47,0.6,25.3,-0.79,"0.439",""
"UPDRS_4","tp(B7)",-0.89,0.56,25.2,-1.6,"0.123",""
"UPDRS_4","tp(B30)",-0.91,0.58,25.3,-1.56,"0.130",""
"UPDRS_4","fivedasc_anx_total",-0.02,0.04,13.3,-0.65,"0.528",""
"UPDRS_4","tp(A7):fivedasc_anx_total",0,0.02,25.3,-0.02,"0.981",""
"UPDRS_4","tp(B7):fivedasc_anx_total",0.01,0.02,25.2,0.51,"0.616",""
"UPDRS_4","tp(B30):fivedasc_anx_total",0.01,0.02,25.2,0.49,"0.625",""
"UPDRS_4","(Intercept)",4.42,1.87,13,2.36,"0.034","*"
"UPDRS_4","tp(A7)",-1.1,1.06,25.1,-1.04,"0.310",""
"UPDRS_4","tp(B7)",-1.53,1.06,25.1,-1.45,"0.159",""
"UPDRS_4","tp(B30)",-1.98,1.25,25.3,-1.59,"0.125",""
"UPDRS_4","fivedasc_cimg_total",-0.05,0.03,13.9,-1.65,"0.121",""
"UPDRS_4","tp(A7):fivedasc_cimg_total",0.01,0.02,25.2,0.65,"0.523",""
"UPDRS_4","tp(B7):fivedasc_cimg_total",0.02,0.02,25.2,0.9,"0.378",""
"UPDRS_4","tp(B30):fivedasc_cimg_total",0.02,0.02,25.3,1.11,"0.276",""
"UPDRS_4","(Intercept)",3.04,1.86,18.4,1.64,"0.118",""
"UPDRS_4","tp(A7)",-1.93,1.2,25.4,-1.6,"0.122",""
"UPDRS_4","tp(B7)",-2.55,1.2,25.4,-2.13,"0.043","*"
"UPDRS_4","tp(B30)",-2.03,1.23,25.5,-1.65,"0.112",""
"UPDRS_4","fivedasc_eimg_total",-0.02,0.03,18.4,-0.86,"0.400",""
"UPDRS_4","tp(A7):fivedasc_eimg_total",0.02,0.02,25.4,1.23,"0.230",""
"UPDRS_4","tp(B7):fivedasc_eimg_total",0.03,0.02,25.4,1.64,"0.114",""
"UPDRS_4","tp(B30):fivedasc_eimg_total",0.02,0.02,25.5,1.13,"0.268",""
"UPDRS_4","(Intercept)",0.67,1.77,15.9,0.38,"0.710",""
"UPDRS_4","tp(A7)",-0.4,1.08,25.3,-0.37,"0.714",""
"UPDRS_4","tp(B7)",0.01,1.08,25.3,0.01,"0.990",""
"UPDRS_4","tp(B30)",-0.26,1.09,25.3,-0.24,"0.810",""
"UPDRS_4","fivedasc_av_total",0.01,0.03,16.5,0.5,"0.623",""
"UPDRS_4","tp(A7):fivedasc_av_total",0,0.02,25.4,-0.1,"0.921",""
"UPDRS_4","tp(B7):fivedasc_av_total",-0.01,0.02,25.3,-0.66,"0.515",""
"UPDRS_4","tp(B30):fivedasc_av_total",-0.01,0.02,25.3,-0.41,"0.685",""
"UPDRS_4","(Intercept)",-0.13,1.22,14.2,-0.1,"0.919",""
"UPDRS_4","tp(A7)",0.11,0.71,25.2,0.15,"0.880",""
"UPDRS_4","tp(B7)",0.41,0.71,25.2,0.58,"0.566",""
"UPDRS_4","tp(B30)",0.22,0.74,25.3,0.29,"0.771",""
"UPDRS_4","fivedasc_per_total",0.04,0.02,16,1.57,"0.137",""
"UPDRS_4","tp(A7):fivedasc_per_total",-0.02,0.02,25.3,-1.05,"0.303",""
"UPDRS_4","tp(B7):fivedasc_per_total",-0.03,0.02,25.3,-1.74,"0.095",""
"UPDRS_4","tp(B30):fivedasc_per_total",-0.02,0.02,25.3,-1.44,"0.163",""
"UPDRS_SUM","(Intercept)",59.75,12.19,11.8,4.9,"<0.001","***"
"UPDRS_SUM","tp(A7)",-14.27,5.45,25.1,-2.62,"0.015","*"
"UPDRS_SUM","tp(B7)",-15.73,5.44,25.1,-2.89,"0.008","**"
"UPDRS_SUM","tp(B30)",-24.77,6.02,25.2,-4.12,"<0.001","***"
"UPDRS_SUM","fivedasc_util_total",0.32,0.2,12.2,1.64,"0.126",""
"UPDRS_SUM","tp(A7):fivedasc_util_total",-0.11,0.09,25.2,-1.21,"0.238",""
"UPDRS_SUM","tp(B7):fivedasc_util_total",-0.18,0.09,25.1,-2,"0.056",""
"UPDRS_SUM","tp(B30):fivedasc_util_total",-0.06,0.1,25.2,-0.61,"0.544",""
"UPDRS_SUM","(Intercept)",58.19,12.98,11.8,4.48,"<0.001","***"
"UPDRS_SUM","tp(A7)",-14.12,5.78,25.1,-2.44,"0.022","*"
"UPDRS_SUM","tp(B7)",-16.17,5.78,25.1,-2.8,"0.010","**"
"UPDRS_SUM","tp(B30)",-27.54,6.44,25.2,-4.27,"<0.001","***"
"UPDRS_SUM","fivedasc_sprit_total",0.3,0.19,12.1,1.64,"0.126",""
"UPDRS_SUM","tp(A7):fivedasc_sprit_total",-0.1,0.09,25.1,-1.15,"0.262",""
"UPDRS_SUM","tp(B7):fivedasc_sprit_total",-0.15,0.09,25.1,-1.76,"0.090",""
"UPDRS_SUM","tp(B30):fivedasc_sprit_total",-0.01,0.09,25.2,-0.11,"0.915",""
"UPDRS_SUM","(Intercept)",59,10.82,11.8,5.45,"<0.001","***"
"UPDRS_SUM","tp(A7)",-14.62,4.9,25.1,-2.99,"0.006","**"
"UPDRS_SUM","tp(B7)",-16.25,4.88,25.1,-3.33,"0.003","**"
"UPDRS_SUM","tp(B30)",-25.25,5.47,25.2,-4.62,"<0.001","***"
"UPDRS_SUM","fivedasc_bliss_total",0.33,0.17,12.1,1.97,"0.072",""
"UPDRS_SUM","tp(A7):fivedasc_bliss_total",-0.1,0.08,25.2,-1.29,"0.207",""
"UPDRS_SUM","tp(B7):fivedasc_bliss_total",-0.17,0.08,25.1,-2.18,"0.039","*"
"UPDRS_SUM","tp(B30):fivedasc_bliss_total",-0.05,0.08,25.2,-0.6,"0.553",""
"UPDRS_SUM","(Intercept)",51.46,12.94,11.9,3.98,"0.002","**"
"UPDRS_SUM","tp(A7)",-11.1,5.89,25.1,-1.89,"0.071",""
"UPDRS_SUM","tp(B7)",-13.18,5.89,25.1,-2.24,"0.034","*"
"UPDRS_SUM","tp(B30)",-23.06,7.03,25.3,-3.28,"0.003","**"
"UPDRS_SUM","fivedasc_insight_total",0.42,0.19,12.2,2.22,"0.046","*"
"UPDRS_SUM","tp(A7):fivedasc_insight_total",-0.15,0.09,25.1,-1.71,"0.100",""
"UPDRS_SUM","tp(B7):fivedasc_insight_total",-0.2,0.09,25.1,-2.3,"0.030","*"
"UPDRS_SUM","tp(B30):fivedasc_insight_total",-0.08,0.1,25.3,-0.82,"0.418",""
"UPDRS_SUM","(Intercept)",59.68,12.16,12.5,4.91,"<0.001","***"
"UPDRS_SUM","tp(A7)",-11.93,6.03,25.2,-1.98,"0.059",""
"UPDRS_SUM","tp(B7)",-17.55,5.78,25.1,-3.04,"0.006","**"
"UPDRS_SUM","tp(B30)",-23.32,6.8,25.3,-3.43,"0.002","**"
"UPDRS_SUM","fivedasc_dis_total",0.38,0.23,13,1.65,"0.123",""
"UPDRS_SUM","tp(A7):fivedasc_dis_total",-0.18,0.12,25.2,-1.51,"0.143",""
"UPDRS_SUM","tp(B7):fivedasc_dis_total",-0.18,0.11,25.2,-1.53,"0.139",""
"UPDRS_SUM","tp(B30):fivedasc_dis_total",-0.1,0.13,25.3,-0.76,"0.454",""
"UPDRS_SUM","(Intercept)",85.24,11.07,12.2,7.7,"<0.001","***"
"UPDRS_SUM","tp(A7)",-22.98,5.74,25.2,-4,"<0.001","***"
"UPDRS_SUM","tp(B7)",-26.75,5.15,25.1,-5.19,"<0.001","***"
"UPDRS_SUM","tp(B30)",-29.88,5.34,25.1,-5.6,"<0.001","***"
"UPDRS_SUM","fivedasc_imp_total",-0.4,0.46,12.7,-0.87,"0.402",""
"UPDRS_SUM","tp(A7):fivedasc_imp_total",0.16,0.24,25.2,0.65,"0.523",""
"UPDRS_SUM","tp(B7):fivedasc_imp_total",0.08,0.22,25.1,0.37,"0.717",""
"UPDRS_SUM","tp(B30):fivedasc_imp_total",0.13,0.23,25.2,0.59,"0.563",""
"UPDRS_SUM","(Intercept)",89.26,8.84,12.8,10.09,"<0.001","***"
"UPDRS_SUM","tp(A7)",-21.26,4.89,25.2,-4.35,"<0.001","***"
"UPDRS_SUM","tp(B7)",-27.12,4.51,25.1,-6.01,"<0.001","***"
"UPDRS_SUM","tp(B30)",-30.1,4.75,25.2,-6.33,"<0.001","***"
"UPDRS_SUM","fivedasc_anx_total",-0.58,0.33,12.6,-1.72,"0.109",""
"UPDRS_SUM","tp(A7):fivedasc_anx_total",0.07,0.18,25.2,0.38,"0.706",""
"UPDRS_SUM","tp(B7):fivedasc_anx_total",0.09,0.17,25.1,0.51,"0.612",""
"UPDRS_SUM","tp(B30):fivedasc_anx_total",0.13,0.17,25.1,0.74,"0.465",""
"UPDRS_SUM","(Intercept)",83.87,19.65,11.5,4.27,"0.001","**"
"UPDRS_SUM","tp(A7)",-16.26,8.24,25,-1.97,"0.060",""
"UPDRS_SUM","tp(B7)",-14.49,8.23,25.1,-1.76,"0.090",""
"UPDRS_SUM","tp(B30)",-33.18,9.72,25.2,-3.41,"0.002","**"
"UPDRS_SUM","fivedasc_cimg_total",-0.11,0.33,12,-0.34,"0.743",""
"UPDRS_SUM","tp(A7):fivedasc_cimg_total",-0.07,0.14,25.1,-0.47,"0.641",""
"UPDRS_SUM","tp(B7):fivedasc_cimg_total",-0.19,0.14,25.1,-1.34,"0.192",""
"UPDRS_SUM","tp(B30):fivedasc_cimg_total",0.09,0.16,25.2,0.53,"0.601",""
"UPDRS_SUM","(Intercept)",66.83,17.74,15.8,3.77,"0.002","**"
"UPDRS_SUM","tp(A7)",-18.18,10.05,25.3,-1.81,"0.082",""
"UPDRS_SUM","tp(B7)",-17.51,9.99,25.3,-1.75,"0.092",""
"UPDRS_SUM","tp(B30)",-19.94,10.29,25.3,-1.94,"0.064",""
"UPDRS_SUM","fivedasc_eimg_total",0.15,0.24,15.8,0.61,"0.548",""
"UPDRS_SUM","tp(A7):fivedasc_eimg_total",-0.02,0.14,25.3,-0.16,"0.873",""
"UPDRS_SUM","tp(B7):fivedasc_eimg_total",-0.11,0.14,25.3,-0.81,"0.425",""
"UPDRS_SUM","tp(B30):fivedasc_eimg_total",-0.1,0.14,25.3,-0.75,"0.461",""
"UPDRS_SUM","(Intercept)",79,17.24,13.7,4.58,"<0.001","***"
"UPDRS_SUM","tp(A7)",-22.77,8.72,25.2,-2.61,"0.015","*"
"UPDRS_SUM","tp(B7)",-21.49,8.72,25.2,-2.46,"0.021","*"
"UPDRS_SUM","tp(B30)",-27.9,8.79,25.2,-3.17,"0.004","**"
"UPDRS_SUM","fivedasc_av_total",-0.03,0.26,14.1,-0.11,"0.913",""
"UPDRS_SUM","tp(A7):fivedasc_av_total",0.05,0.14,25.2,0.35,"0.730",""
"UPDRS_SUM","tp(B7):fivedasc_av_total",-0.06,0.14,25.2,-0.45,"0.656",""
"UPDRS_SUM","tp(B30):fivedasc_av_total",0.01,0.14,25.2,0.07,"0.948",""
"UPDRS_SUM","(Intercept)",66.95,12.37,12.7,5.41,"<0.001","***"
"UPDRS_SUM","tp(A7)",-13.61,5.91,25.1,-2.3,"0.030","*"
"UPDRS_SUM","tp(B7)",-19.85,5.89,25.2,-3.37,"0.002","**"
"UPDRS_SUM","tp(B30)",-21.92,6.17,25.2,-3.55,"0.002","**"
"UPDRS_SUM","fivedasc_per_total",0.24,0.25,13.8,0.98,"0.342",""
"UPDRS_SUM","tp(A7):fivedasc_per_total",-0.16,0.13,25.2,-1.23,"0.230",""
"UPDRS_SUM","tp(B7):fivedasc_per_total",-0.14,0.13,25.2,-1.08,"0.290",""
"UPDRS_SUM","tp(B30):fivedasc_per_total",-0.14,0.13,25.2,-1.05,"0.305",""
