"measure","tp","pred","pearso_p","spearman_p","kendall_p","pearson.sig","spearman.sig","kendall.sig"
"OTSPSFC","A7","fivedasc_eimg_total",0.648,0.716,0.483,"","",""
"OTSPSFC","A7","fivedasc_av_total",0.205,0.174,0.161,"","",""
"OTSPSFC","A7","fivedasc_per_total",0.357,0.266,0.326,"","",""
"OTSPSFC","A7","boundlessMean",0.773,0.58,0.575,"","",""
"OTSPSFC","A7","anxiousEgoMean",0.753,0.389,0.483,"","",""
"OTSPSFC","A7","visionaryMean",0.589,0.741,0.779,"","",""
"OTSPSFC","B30","age",0.684,0.169,0.125,"","",""
"OTSPSFC","B30","LED",0.261,0.279,0.277,"","",""
"OTSPSFC","B30","severity",0.056,0.055,0.07,"","",""
"OTSPSFC","B30","fivedasc_util_total",0.342,0.342,0.329,"","",""
"OTSPSFC","B30","fivedasc_sprit_total",0.465,0.404,0.403,"","",""
"OTSPSFC","B30","fivedasc_bliss_total",0.192,0.249,0.163,"","",""
"OTSPSFC","B30","fivedasc_insight_total",0.498,0.269,0.21,"","",""
"OTSPSFC","B30","fivedasc_dis_total",0.611,0.887,1,"","",""
"OTSPSFC","B30","fivedasc_imp_total",0.586,0.486,0.403,"","",""
"OTSPSFC","B30","fivedasc_anx_total",0.358,0.379,0.21,"","",""
"OTSPSFC","B30","fivedasc_cimg_total",0.687,0.793,0.834,"","",""
"OTSPSFC","B30","fivedasc_eimg_total",0.363,0.515,0.486,"","",""
"OTSPSFC","B30","fivedasc_av_total",0.399,0.291,0.403,"","",""
"OTSPSFC","B30","fivedasc_per_total",0.715,0.285,0.403,"","",""
"OTSPSFC","B30","boundlessMean",0.344,0.342,0.329,"","",""
"OTSPSFC","B30","anxiousEgoMean",0.788,0.718,0.577,"","",""
"OTSPSFC","B30","visionaryMean",0.369,0.472,0.403,"","",""
"OTSPSFC","B7","age",0.548,0.2,0.213,"","",""
"OTSPSFC","B7","LED",0.64,0.436,0.453,"","",""
"OTSPSFC","B7","severity",0.076,0.085,0.072,"","",""
"OTSPSFC","B7","fivedasc_util_total",0.744,0.957,0.89,"","",""
"OTSPSFC","B7","fivedasc_sprit_total",0.528,0.828,0.89,"","",""
"OTSPSFC","B7","fivedasc_bliss_total",0.934,0.948,0.89,"","",""
"OTSPSFC","B7","fivedasc_insight_total",0.986,0.786,0.782,"","",""
"OTSPSFC","B7","fivedasc_dis_total",0.969,0.983,0.89,"","",""
"OTSPSFC","B7","fivedasc_imp_total",0.502,0.639,0.58,"","",""
"OTSPSFC","B7","fivedasc_anx_total",0.755,0.87,0.89,"","",""
"OTSPSFC","B7","fivedasc_cimg_total",0.354,0.356,0.298,"","",""
"OTSPSFC","B7","fivedasc_eimg_total",0.23,0.433,0.406,"","",""
"OTSPSFC","B7","fivedasc_av_total",0.986,0.896,1,"","",""
"OTSPSFC","B7","fivedasc_per_total",0.947,0.631,0.58,"","",""
"OTSPSFC","B7","boundlessMean",0.794,0.87,1,"","",""
"OTSPSFC","B7","anxiousEgoMean",0.94,0.965,0.89,"","",""
"OTSPSFC","B7","visionaryMean",0.847,0.991,1,"","",""
"OTSPSFC","bsl","age",0.105,0.015,0.026,"","*","*"
"OTSPSFC","bsl","LED",0.491,0.235,0.182,"","",""
"OTSPSFC","bsl","severity",0.098,0.047,0.073,"","*",""
"OTSPSFC","bsl","fivedasc_util_total",0.888,0.652,0.72,"","",""
"OTSPSFC","bsl","fivedasc_sprit_total",0.89,0.62,0.616,"","",""
"OTSPSFC","bsl","fivedasc_bliss_total",0.9,0.418,0.431,"","",""
"OTSPSFC","bsl","fivedasc_insight_total",0.526,0.379,0.519,"","",""
"OTSPSFC","bsl","fivedasc_dis_total",0.72,0.652,0.83,"","",""
"OTSPSFC","bsl","fivedasc_imp_total",0.986,0.762,0.72,"","",""
"OTSPSFC","bsl","fivedasc_anx_total",0.948,0.991,0.83,"","",""
"OTSPSFC","bsl","fivedasc_cimg_total",0.536,0.639,0.566,"","",""
"OTSPSFC","bsl","fivedasc_eimg_total",0.634,0.991,0.83,"","",""
"OTSPSFC","bsl","fivedasc_av_total",0.327,0.446,0.431,"","",""
"OTSPSFC","bsl","fivedasc_per_total",0.964,0.379,0.616,"","",""
"OTSPSFC","bsl","boundlessMean",0.908,0.652,0.72,"","",""
"OTSPSFC","bsl","anxiousEgoMean",0.776,0.62,0.616,"","",""
"OTSPSFC","bsl","visionaryMean",0.764,0.831,0.72,"","",""
"PALFAMS","A7","age",0.013,0.019,0.035,"*","*","*"
"PALFAMS","A7","LED",0.327,0.284,0.389,"","",""
"PALFAMS","A7","severity",0.001,0.001,0.003,"**","**","**"
"PALFAMS","A7","fivedasc_util_total",0.643,0.667,0.779,"","",""
"PALFAMS","A7","fivedasc_sprit_total",0.852,0.921,0.888,"","",""
"PALFAMS","A7","fivedasc_bliss_total",0.917,0.895,1,"","",""
"PALFAMS","A7","fivedasc_insight_total",0.995,0.965,0.888,"","",""
"PALFAMS","A7","fivedasc_dis_total",0.979,0.965,0.779,"","",""
"PALFAMS","A7","fivedasc_imp_total",0.885,0.627,0.483,"","",""
"PALFAMS","A7","fivedasc_anx_total",0.875,0.904,1,"","",""
"PALFAMS","A7","fivedasc_cimg_total",0.504,0.315,0.292,"","",""
"PALFAMS","A7","fivedasc_eimg_total",0.553,0.766,0.779,"","",""
"PALFAMS","A7","fivedasc_av_total",0.069,0.083,0.092,"","",""
"PALFAMS","A7","fivedasc_per_total",0.276,0.758,1,"","",""
"PALFAMS","A7","boundlessMean",0.85,0.716,0.888,"","",""
"PALFAMS","A7","anxiousEgoMean",0.999,1,0.888,"","",""
"PALFAMS","A7","visionaryMean",0.145,0.083,0.092,"","",""
"PALFAMS","B30","age",0.012,0.008,0.016,"*","**","*"
"PALFAMS","B30","LED",0.069,0.055,0.069,"","",""
"PALFAMS","B30","severity",0.004,0.002,0.007,"**","**","**"
"PALFAMS","B30","fivedasc_util_total",0.434,0.585,0.73,"","",""
"PALFAMS","B30","fivedasc_sprit_total",0.631,0.879,0.836,"","",""
"PALFAMS","B30","fivedasc_bliss_total",0.652,0.837,0.945,"","",""
"PALFAMS","B30","fivedasc_insight_total",0.826,0.845,0.836,"","",""
"PALFAMS","B30","fivedasc_dis_total",0.855,0.905,0.836,"","",""
"PALFAMS","B30","fivedasc_imp_total",0.539,0.585,0.73,"","",""
"PALFAMS","B30","fivedasc_anx_total",0.634,0.655,0.447,"","",""
"PALFAMS","B30","fivedasc_cimg_total",0.369,0.302,0.406,"","",""
"PALFAMS","B30","fivedasc_eimg_total",0.969,0.957,0.945,"","",""
"PALFAMS","B30","fivedasc_av_total",0.118,0.11,0.112,"","",""
"PALFAMS","B30","fivedasc_per_total",0.404,0.828,0.945,"","",""
"PALFAMS","B30","boundlessMean",0.621,0.687,0.836,"","",""
"PALFAMS","B30","anxiousEgoMean",0.744,0.54,0.629,"","",""
"PALFAMS","B30","visionaryMean",0.286,0.205,0.189,"","",""
"PALFAMS","B7","age",0.051,0.028,0.045,"","*","*"
"PALFAMS","B7","LED",0.351,0.211,0.394,"","",""
"PALFAMS","B7","severity",0,0.001,0.005,"***","***","**"
"PALFAMS","B7","fivedasc_util_total",0.819,0.82,0.945,"","",""
"PALFAMS","B7","fivedasc_sprit_total",0.93,0.957,0.945,"","",""
"PALFAMS","B7","fivedasc_bliss_total",0.933,0.862,0.836,"","",""
"PALFAMS","B7","fivedasc_insight_total",0.74,0.736,0.629,"","",""
"PALFAMS","B7","fivedasc_dis_total",0.998,0.72,0.945,"","",""
"PALFAMS","B7","fivedasc_imp_total",0.993,0.854,0.73,"","",""
"PALFAMS","B7","fivedasc_anx_total",0.508,0.663,0.629,"","",""
"PALFAMS","B7","fivedasc_cimg_total",0.297,0.267,0.268,"","",""
"PALFAMS","B7","fivedasc_eimg_total",0.779,0.786,0.945,"","",""
"PALFAMS","B7","fivedasc_av_total",0.162,0.184,0.112,"","",""
"PALFAMS","B7","fivedasc_per_total",0.47,0.983,0.73,"","",""
"PALFAMS","B7","boundlessMean",0.981,0.879,0.945,"","",""
"PALFAMS","B7","anxiousEgoMean",0.752,0.608,0.73,"","",""
"PALFAMS","B7","visionaryMean",0.251,0.184,0.189,"","",""
"PALFAMS","bsl","age",0.135,0.008,0.023,"","**","*"
"PALFAMS","bsl","LED",0.139,0.301,0.282,"","",""
"PALFAMS","bsl","severity",0.002,0.003,0.007,"**","**","**"
"PALFAMS","bsl","fivedasc_util_total",0.798,0.974,0.945,"","",""
"PALFAMS","bsl","fivedasc_sprit_total",0.736,0.974,0.945,"","",""
"PALFAMS","bsl","fivedasc_bliss_total",0.897,0.703,0.534,"","",""
"PALFAMS","bsl","fivedasc_insight_total",0.986,0.461,0.447,"","",""
"PALFAMS","bsl","fivedasc_dis_total",0.73,0.663,0.73,"","",""
"PALFAMS","bsl","fivedasc_imp_total",0.361,0.351,0.3,"","",""
"PALFAMS","bsl","fivedasc_anx_total",0.116,0.197,0.147,"","",""
"PALFAMS","bsl","fivedasc_cimg_total",0.196,0.211,0.166,"","",""
"PALFAMS","bsl","fivedasc_eimg_total",0.498,0.461,0.447,"","",""
"PALFAMS","bsl","fivedasc_av_total",0.854,0.914,0.945,"","",""
"PALFAMS","bsl","fivedasc_per_total",0.879,0.6,0.629,"","",""
"PALFAMS","bsl","boundlessMean",0.906,0.965,0.836,"","",""
"PALFAMS","bsl","anxiousEgoMean",0.173,0.197,0.189,"","",""
"PALFAMS","bsl","visionaryMean",0.851,0.837,0.836,"","",""
"PALTEA","A7","age",0.034,0.014,0.016,"*","*","*"
"PALTEA","A7","LED",0.344,0.325,0.34,"","",""
"PALTEA","A7","severity",0,0.002,0.005,"***","**","**"
"PALTEA","A7","fivedasc_util_total",0.963,0.846,0.945,"","",""
"PALTEA","A7","fivedasc_sprit_total",0.879,0.991,0.731,"","",""
"PALTEA","A7","fivedasc_bliss_total",0.795,0.914,0.731,"","",""
"PALTEA","A7","fivedasc_insight_total",0.547,0.812,0.63,"","",""
"PALTEA","A7","fivedasc_dis_total",0.644,0.991,0.731,"","",""
"PALTEA","A7","fivedasc_imp_total",0.871,0.778,0.731,"","",""
"PALTEA","A7","fivedasc_anx_total",0.638,0.888,0.945,"","",""
"PALTEA","A7","fivedasc_cimg_total",0.423,0.511,0.491,"","",""
"PALTEA","A7","fivedasc_eimg_total",0.779,0.812,0.731,"","",""
"PALTEA","A7","fivedasc_av_total",0.275,0.198,0.192,"","",""
"PALTEA","A7","fivedasc_per_total",0.616,0.82,0.837,"","",""
"PALTEA","A7","boundlessMean",0.807,0.863,0.837,"","",""
"PALTEA","A7","anxiousEgoMean",0.962,0.983,0.837,"","",""
"PALTEA","A7","visionaryMean",0.508,0.259,0.192,"","",""
"PALTEA","B30","age",0.026,0.007,0.013,"*","**","*"
"PALTEA","B30","LED",0.145,0.148,0.112,"","",""
"PALTEA","B30","severity",0.002,0.002,0.009,"**","**","**"
"PALTEA","B30","fivedasc_util_total",0.633,0.837,1,"","",""
"PALTEA","B30","fivedasc_sprit_total",0.783,0.879,0.783,"","",""
"PALTEA","B30","fivedasc_bliss_total",0.864,0.905,0.783,"","",""
"PALTEA","B30","fivedasc_insight_total",0.981,0.616,0.582,"","",""
"PALTEA","B30","fivedasc_dis_total",0.74,0.854,0.783,"","",""
"PALTEA","B30","fivedasc_imp_total",0.676,0.415,0.582,"","",""
"PALTEA","B30","fivedasc_anx_total",0.616,0.616,0.491,"","",""
"PALTEA","B30","fivedasc_cimg_total",0.412,0.401,0.369,"","",""
"PALTEA","B30","fivedasc_eimg_total",0.629,0.68,0.679,"","",""
"PALTEA","B30","fivedasc_av_total",0.288,0.263,0.27,"","",""
"PALTEA","B30","fivedasc_per_total",0.466,0.991,0.89,"","",""
"PALTEA","B30","boundlessMean",0.818,0.931,0.89,"","",""
"PALTEA","B30","anxiousEgoMean",0.875,0.593,0.783,"","",""
"PALTEA","B30","visionaryMean",0.51,0.415,0.335,"","",""
"PALTEA","B7","age",0.038,0.017,0.033,"*","*","*"
"PALTEA","B7","LED",0.198,0.114,0.201,"","",""
"PALTEA","B7","severity",0.003,0.002,0.007,"**","**","**"
"PALTEA","B7","fivedasc_util_total",0.841,0.846,0.731,"","",""
"PALTEA","B7","fivedasc_sprit_total",0.801,0.837,0.731,"","",""
"PALTEA","B7","fivedasc_bliss_total",0.906,0.534,0.536,"","",""
"PALTEA","B7","fivedasc_insight_total",0.701,0.449,0.45,"","",""
"PALTEA","B7","fivedasc_dis_total",0.922,0.974,0.945,"","",""
"PALTEA","B7","fivedasc_imp_total",0.649,0.721,0.731,"","",""
"PALTEA","B7","fivedasc_anx_total",0.371,0.416,0.303,"","",""
"PALTEA","B7","fivedasc_cimg_total",0.328,0.343,0.335,"","",""
"PALTEA","B7","fivedasc_eimg_total",0.636,0.991,0.945,"","",""
"PALTEA","B7","fivedasc_av_total",0.336,0.291,0.303,"","",""
"PALTEA","B7","fivedasc_per_total",0.673,0.68,0.536,"","",""
"PALTEA","B7","boundlessMean",0.992,0.812,0.63,"","",""
"PALTEA","B7","anxiousEgoMean",0.502,0.541,0.536,"","",""
"PALTEA","B7","visionaryMean",0.577,0.484,0.45,"","",""
"PALTEA","bsl","age",0.045,0.027,0.086,"*","*",""
"PALTEA","bsl","LED",0.072,0.006,0.015,"","**","*"
"PALTEA","bsl","severity",0.001,0.001,0.003,"***","***","**"
"PALTEA","bsl","fivedasc_util_total",0.59,0.549,0.731,"","",""
"PALTEA","bsl","fivedasc_sprit_total",0.613,0.712,0.731,"","",""
"PALTEA","bsl","fivedasc_bliss_total",0.882,0.803,0.945,"","",""
"PALTEA","bsl","fivedasc_insight_total",0.976,0.837,0.731,"","",""
"PALTEA","bsl","fivedasc_dis_total",0.856,0.721,0.731,"","",""
"PALTEA","bsl","fivedasc_imp_total",0.666,0.601,0.63,"","",""
"PALTEA","bsl","fivedasc_anx_total",0.411,0.347,0.372,"","",""
"PALTEA","bsl","fivedasc_cimg_total",0.371,0.253,0.27,"","",""
"PALTEA","bsl","fivedasc_eimg_total",0.682,0.854,0.837,"","",""
"PALTEA","bsl","fivedasc_av_total",0.309,0.409,0.372,"","",""
"PALTEA","bsl","fivedasc_per_total",0.506,0.974,0.945,"","",""
"PALTEA","bsl","boundlessMean",0.756,0.64,0.837,"","",""
"PALTEA","bsl","anxiousEgoMean",0.49,0.23,0.303,"","",""
"PALTEA","bsl","visionaryMean",0.503,0.365,0.243,"","",""
"RTIFMDMT","A7","age",0.264,0.619,0.638,"","",""
"RTIFMDMT","A7","LED",0.831,0.914,0.75,"","",""
"RTIFMDMT","A7","severity",0.051,0.075,0.063,"","",""
"RTIFMDMT","A7","fivedasc_util_total",0.142,0.11,0.063,"","",""
"RTIFMDMT","A7","fivedasc_sprit_total",0.119,0.127,0.116,"","",""
"RTIFMDMT","A7","fivedasc_bliss_total",0.149,0.079,0.063,"","",""
"RTIFMDMT","A7","fivedasc_insight_total",0.059,0.071,0.045,"","","*"
"RTIFMDMT","A7","fivedasc_dis_total",0.111,0.177,0.197,"","",""
"RTIFMDMT","A7","fivedasc_imp_total",0.597,0.904,0.947,"","",""
"RTIFMDMT","A7","fivedasc_anx_total",0.335,0.7,0.841,"","",""
"RTIFMDMT","A7","fivedasc_cimg_total",0.395,0.664,0.45,"","",""
"RTIFMDMT","A7","fivedasc_eimg_total",0.811,0.588,0.638,"","",""
"RTIFMDMT","A7","fivedasc_av_total",0.857,0.817,0.841,"","",""
"RTIFMDMT","A7","fivedasc_per_total",0.526,0.184,0.153,"","",""
"RTIFMDMT","A7","boundlessMean",0.104,0.127,0.086,"","",""
"RTIFMDMT","A7","anxiousEgoMean",0.664,0.485,0.545,"","",""
"RTIFMDMT","A7","visionaryMean",0.972,0.716,0.638,"","",""
"RTIFMDMT","B30","age",0.735,0.651,0.638,"","",""
"RTIFMDMT","B30","LED",0.721,0.617,0.596,"","",""
"RTIFMDMT","B30","severity",0.115,0.193,0.311,"","",""
"RTIFMDMT","B30","fivedasc_util_total",0.142,0.227,0.311,"","",""
"RTIFMDMT","B30","fivedasc_sprit_total",0.071,0.147,0.197,"","",""
"RTIFMDMT","B30","fivedasc_bliss_total",0.162,0.177,0.197,"","",""
"RTIFMDMT","B30","fivedasc_insight_total",0.029,0.104,0.086,"*","",""
"RTIFMDMT","B30","fivedasc_dis_total",0.057,0.14,0.116,"","",""
"RTIFMDMT","B30","fivedasc_imp_total",0.676,0.733,0.947,"","",""
"RTIFMDMT","B30","fivedasc_anx_total",0.561,0.817,1,"","",""
"RTIFMDMT","B30","fivedasc_cimg_total",0.737,0.594,0.63,"","",""
"RTIFMDMT","B30","fivedasc_eimg_total",0.808,0.573,0.841,"","",""
"RTIFMDMT","B30","fivedasc_av_total",0.678,0.8,0.841,"","",""
"RTIFMDMT","B30","fivedasc_per_total",0.272,0.404,0.381,"","",""
"RTIFMDMT","B30","boundlessMean",0.083,0.177,0.25,"","",""
"RTIFMDMT","B30","anxiousEgoMean",0.402,0.588,0.545,"","",""
"RTIFMDMT","B30","visionaryMean",0.815,0.651,0.841,"","",""
"RTIFMDMT","B7","age",0.512,0.667,0.638,"","",""
"RTIFMDMT","B7","LED",0.457,0.468,0.458,"","",""
"RTIFMDMT","B7","severity",0.054,0.032,0.063,"","*",""
"RTIFMDMT","B7","fivedasc_util_total",0.206,0.201,0.197,"","",""
"RTIFMDMT","B7","fivedasc_sprit_total",0.145,0.147,0.197,"","",""
"RTIFMDMT","B7","fivedasc_bliss_total",0.18,0.11,0.116,"","",""
"RTIFMDMT","B7","fivedasc_insight_total",0.121,0.104,0.086,"","",""
"RTIFMDMT","B7","fivedasc_dis_total",0.088,0.127,0.116,"","",""
"RTIFMDMT","B7","fivedasc_imp_total",0.9,0.974,0.947,"","",""
"RTIFMDMT","B7","fivedasc_anx_total",0.48,0.635,0.638,"","",""
"RTIFMDMT","B7","fivedasc_cimg_total",0.506,0.586,0.731,"","",""
"RTIFMDMT","B7","fivedasc_eimg_total",0.571,0.939,0.841,"","",""
"RTIFMDMT","B7","fivedasc_av_total",0.528,0.749,0.638,"","",""
"RTIFMDMT","B7","fivedasc_per_total",0.273,0.237,0.25,"","",""
"RTIFMDMT","B7","boundlessMean",0.15,0.147,0.153,"","",""
"RTIFMDMT","B7","anxiousEgoMean",0.436,0.651,0.545,"","",""
"RTIFMDMT","B7","visionaryMean",0.905,0.939,0.841,"","",""
"RTIFMDMT","bsl","age",0.473,0.318,0.372,"","",""
"RTIFMDMT","bsl","LED",0.406,0.269,0.34,"","",""
"RTIFMDMT","bsl","severity",0.001,0.001,0.005,"***","**","**"
"RTIFMDMT","bsl","fivedasc_util_total",0.225,0.166,0.192,"","",""
"RTIFMDMT","bsl","fivedasc_sprit_total",0.178,0.158,0.192,"","",""
"RTIFMDMT","bsl","fivedasc_bliss_total",0.166,0.077,0.114,"","",""
"RTIFMDMT","bsl","fivedasc_insight_total",0.042,0.035,0.046,"*","*","*"
"RTIFMDMT","bsl","fivedasc_dis_total",0.214,0.359,0.45,"","",""
"RTIFMDMT","bsl","fivedasc_imp_total",0.678,0.512,0.63,"","",""
"RTIFMDMT","bsl","fivedasc_anx_total",0.338,0.372,0.372,"","",""
"RTIFMDMT","bsl","fivedasc_cimg_total",0.999,0.931,1,"","",""
"RTIFMDMT","bsl","fivedasc_eimg_total",0.358,0.147,0.192,"","",""
"RTIFMDMT","bsl","fivedasc_av_total",0.942,0.704,0.837,"","",""
"RTIFMDMT","bsl","fivedasc_per_total",0.576,0.216,0.149,"","",""
"RTIFMDMT","bsl","boundlessMean",0.129,0.144,0.149,"","",""
"RTIFMDMT","bsl","anxiousEgoMean",0.794,0.888,0.837,"","",""
"RTIFMDMT","bsl","visionaryMean",0.56,0.442,0.45,"","",""
"RTIFMDRT","A7","age",0.897,0.555,0.582,"","",""
"RTIFMDRT","A7","LED",0.996,0.478,0.453,"","",""
"RTIFMDRT","A7","severity",0.104,0.133,0.215,"","",""
"RTIFMDRT","A7","fivedasc_util_total",0.089,0.12,0.098,"","",""
"RTIFMDRT","A7","fivedasc_sprit_total",0.044,0.079,0.054,"*","",""
"RTIFMDRT","A7","fivedasc_bliss_total",0.115,0.094,0.054,"","",""
"RTIFMDRT","A7","fivedasc_insight_total",0.034,0.07,0.039,"*","","*"
"RTIFMDRT","A7","fivedasc_dis_total",0.026,0.126,0.098,"*","",""
"RTIFMDRT","A7","fivedasc_imp_total",0.615,0.795,0.679,"","",""
"RTIFMDRT","A7","fivedasc_anx_total",0.349,0.871,0.679,"","",""
"RTIFMDRT","A7","fivedasc_cimg_total",0.901,0.651,0.945,"","",""
"RTIFMDRT","A7","fivedasc_eimg_total",0.764,0.533,0.582,"","",""
"RTIFMDRT","A7","fivedasc_av_total",0.908,0.897,1,"","",""
"RTIFMDRT","A7","fivedasc_per_total",0.185,0.258,0.215,"","",""
"RTIFMDRT","A7","boundlessMean",0.059,0.096,0.073,"","",""
"RTIFMDRT","A7","anxiousEgoMean",0.419,0.409,0.491,"","",""
"RTIFMDRT","A7","visionaryMean",0.788,0.648,0.582,"","",""
"RTIFMDRT","B30","age",0.78,0.749,0.25,"","",""
"RTIFMDRT","B30","LED",0.552,0.511,0.596,"","",""
"RTIFMDRT","B30","severity",0.97,0.991,0.947,"","",""
"RTIFMDRT","B30","fivedasc_util_total",0.271,0.543,0.545,"","",""
"RTIFMDRT","B30","fivedasc_sprit_total",0.234,0.354,0.381,"","",""
"RTIFMDRT","B30","fivedasc_bliss_total",0.397,0.635,0.545,"","",""
"RTIFMDRT","B30","fivedasc_insight_total",0.196,0.619,0.638,"","",""
"RTIFMDRT","B30","fivedasc_dis_total",0.096,0.14,0.086,"","",""
"RTIFMDRT","B30","fivedasc_imp_total",0.528,0.683,0.841,"","",""
"RTIFMDRT","B30","fivedasc_anx_total",0.562,0.939,0.947,"","",""
"RTIFMDRT","B30","fivedasc_cimg_total",0.936,0.586,0.45,"","",""
"RTIFMDRT","B30","fivedasc_eimg_total",0.633,0.266,0.25,"","",""
"RTIFMDRT","B30","fivedasc_av_total",0.689,0.134,0.25,"","",""
"RTIFMDRT","B30","fivedasc_per_total",0.151,0.783,0.841,"","",""
"RTIFMDRT","B30","boundlessMean",0.26,0.514,0.459,"","",""
"RTIFMDRT","B30","anxiousEgoMean",0.536,0.499,0.638,"","",""
"RTIFMDRT","B30","visionaryMean",0.884,0.444,0.381,"","",""
"RTIFMDRT","B7","age",0.939,0.573,0.638,"","",""
"RTIFMDRT","B7","LED",0.446,0.126,0.112,"","",""
"RTIFMDRT","B7","severity",0.357,0.308,0.459,"","",""
"RTIFMDRT","B7","fivedasc_util_total",0.083,0.067,0.063,"","",""
"RTIFMDRT","B7","fivedasc_sprit_total",0.039,0.046,0.063,"*","*",""
"RTIFMDRT","B7","fivedasc_bliss_total",0.108,0.046,0.031,"","*","*"
"RTIFMDRT","B7","fivedasc_insight_total",0.039,0.052,0.045,"*","","*"
"RTIFMDRT","B7","fivedasc_dis_total",0.031,0.084,0.063,"*","",""
"RTIFMDRT","B7","fivedasc_imp_total",0.893,0.733,0.737,"","",""
"RTIFMDRT","B7","fivedasc_anx_total",0.663,0.991,1,"","",""
"RTIFMDRT","B7","fivedasc_cimg_total",0.627,0.491,0.536,"","",""
"RTIFMDRT","B7","fivedasc_eimg_total",0.571,0.7,0.638,"","",""
"RTIFMDRT","B7","fivedasc_av_total",0.875,0.817,1,"","",""
"RTIFMDRT","B7","fivedasc_per_total",0.104,0.134,0.086,"","",""
"RTIFMDRT","B7","boundlessMean",0.056,0.052,0.045,"","","*"
"RTIFMDRT","B7","anxiousEgoMean",0.24,0.21,0.25,"","",""
"RTIFMDRT","B7","visionaryMean",0.686,0.528,0.638,"","",""
"RTIFMDRT","bsl","age",0.986,0.528,0.545,"","",""
"RTIFMDRT","bsl","LED",0.944,0.897,0.916,"","",""
"RTIFMDRT","bsl","severity",0.194,0.256,0.381,"","",""
"RTIFMDRT","bsl","fivedasc_util_total",0.152,0.331,0.545,"","",""
"RTIFMDRT","bsl","fivedasc_sprit_total",0.067,0.193,0.25,"","",""
"RTIFMDRT","bsl","fivedasc_bliss_total",0.204,0.308,0.381,"","",""
"RTIFMDRT","bsl","fivedasc_insight_total",0.037,0.21,0.197,"*","",""
"RTIFMDRT","bsl","fivedasc_dis_total",0.049,0.169,0.25,"*","",""
"RTIFMDRT","bsl","fivedasc_imp_total",0.718,0.956,1,"","",""
"RTIFMDRT","bsl","fivedasc_anx_total",0.622,0.956,0.947,"","",""
"RTIFMDRT","bsl","fivedasc_cimg_total",0.891,0.846,0.945,"","",""
"RTIFMDRT","bsl","fivedasc_eimg_total",0.59,0.921,0.947,"","",""
"RTIFMDRT","bsl","fivedasc_av_total",0.66,0.528,0.545,"","",""
"RTIFMDRT","bsl","fivedasc_per_total",0.347,0.558,0.638,"","",""
"RTIFMDRT","bsl","boundlessMean",0.094,0.276,0.459,"","",""
"RTIFMDRT","bsl","anxiousEgoMean",0.345,0.417,0.459,"","",""
"RTIFMDRT","bsl","visionaryMean",0.946,0.956,0.947,"","",""
"RTISMDMT","A7","age",0.353,0.193,0.218,"","",""
"RTISMDMT","A7","LED",0.861,0.746,0.596,"","",""
"RTISMDMT","A7","severity",0.033,0.048,0.06,"*","*",""
"RTISMDMT","A7","fivedasc_util_total",0.117,0.114,0.087,"","",""
"RTISMDMT","A7","fivedasc_sprit_total",0.088,0.1,0.087,"","",""
"RTISMDMT","A7","fivedasc_bliss_total",0.115,0.052,0.06,"","",""
"RTISMDMT","A7","fivedasc_insight_total",0.06,0.048,0.041,"","*","*"
"RTISMDMT","A7","fivedasc_dis_total",0.14,0.299,0.359,"","",""
"RTISMDMT","A7","fivedasc_imp_total",0.427,0.539,0.648,"","",""
"RTISMDMT","A7","fivedasc_anx_total",0.178,0.468,0.542,"","",""
"RTISMDMT","A7","fivedasc_cimg_total",0.374,0.62,0.639,"","",""
"RTISMDMT","A7","fivedasc_eimg_total",0.668,0.435,0.359,"","",""
"RTISMDMT","A7","fivedasc_av_total",0.866,1,1,"","",""
"RTISMDMT","A7","fivedasc_per_total",0.423,0.173,0.087,"","",""
"RTISMDMT","A7","boundlessMean",0.085,0.114,0.087,"","",""
"RTISMDMT","A7","anxiousEgoMean",0.913,0.776,0.879,"","",""
"RTISMDMT","A7","visionaryMean",0.804,0.755,0.648,"","",""
"RTISMDMT","B30","age",0.663,0.834,0.947,"","",""
"RTISMDMT","B30","LED",0.781,0.713,0.75,"","",""
"RTISMDMT","B30","severity",0.069,0.02,0.045,"","*","*"
"RTISMDMT","B30","fivedasc_util_total",0.147,0.14,0.153,"","",""
"RTISMDMT","B30","fivedasc_sprit_total",0.061,0.075,0.086,"","",""
"RTISMDMT","B30","fivedasc_bliss_total",0.158,0.075,0.086,"","",""
"RTISMDMT","B30","fivedasc_insight_total",0.043,0.043,0.031,"*","*","*"
"RTISMDMT","B30","fivedasc_dis_total",0.044,0.127,0.153,"*","",""
"RTISMDMT","B30","fivedasc_imp_total",0.596,0.886,1,"","",""
"RTISMDMT","B30","fivedasc_anx_total",0.47,0.749,0.947,"","",""
"RTISMDMT","B30","fivedasc_cimg_total",0.998,0.672,0.63,"","",""
"RTISMDMT","B30","fivedasc_eimg_total",0.536,0.573,0.737,"","",""
"RTISMDMT","B30","fivedasc_av_total",0.571,0.834,0.947,"","",""
"RTISMDMT","B30","fivedasc_per_total",0.294,0.218,0.197,"","",""
"RTISMDMT","B30","boundlessMean",0.085,0.099,0.116,"","",""
"RTISMDMT","B30","anxiousEgoMean",0.43,0.514,0.459,"","",""
"RTISMDMT","B30","visionaryMean",0.945,0.766,0.545,"","",""
"RTISMDMT","B7","age",0.368,0.379,0.545,"","",""
"RTISMDMT","B7","LED",0.598,0.337,0.458,"","",""
