"measure","tp","pred","pearson_cor","spearman_rho","kendall_tau","pearson_p","spearman_p","kendall_p","pearson_sig","spearman_sig","kendall_sig"
"MTSCFAPC","bsl","fivedasc_dis_total",-0.567,-0.535,-0.494,0.055,0.073,0.043,"","","*"
"MTSCFAPC","bsl","fivedasc_imp_total",0.389,0.205,0.19,0.211,0.524,0.436,"","",""
"MTSCFAPC","bsl","fivedasc_anx_total",0.349,0.212,0.19,0.266,0.507,0.436,"","",""
"MTSCFAPC","bsl","fivedasc_cimg_total",0.274,0.059,0.057,0.389,0.855,0.815,"","",""
"MTSCFAPC","bsl","fivedasc_eimg_total",-0.034,0.142,0.114,0.916,0.661,0.64,"","",""
"MTSCFAPC","bsl","fivedasc_av_total",-0.18,-0.024,0,0.576,0.942,1,"","",""
"MTSCFAPC","bsl","fivedasc_per_total",-0.339,-0.409,-0.342,0.281,0.187,0.161,"","",""
"MTSCFAPC","bsl","boundlessMean",-0.4,-0.362,-0.304,0.198,0.248,0.212,"","",""
"MTSCFAPC","bsl","anxiousEgoMean",-0.096,-0.165,-0.114,0.768,0.608,0.64,"","",""
"MTSCFAPC","bsl","visionaryMean",-0.127,0.039,0.038,0.694,0.903,0.876,"","",""
"MTSPS82","A7","age",0.419,0.252,0.182,0.176,0.43,0.459,"","",""
"MTSPS82","A7","LED",-0.344,-0.27,-0.203,0.364,0.482,0.458,"","",""
"MTSPS82","A7","severity",0.665,0.608,0.485,0.018,0.04,0.031,"*","*","*"
"MTSPS82","A7","fivedasc_util_total",0.174,0.231,0.121,0.588,0.471,0.638,"","",""
"MTSPS82","A7","fivedasc_sprit_total",0.256,0.35,0.242,0.422,0.266,0.311,"","",""
"MTSPS82","A7","fivedasc_bliss_total",0.19,0.301,0.182,0.555,0.342,0.459,"","",""
"MTSPS82","A7","fivedasc_insight_total",0.422,0.427,0.273,0.172,0.169,0.25,"","",""
"MTSPS82","A7","fivedasc_dis_total",0.366,0.399,0.303,0.242,0.201,0.197,"","",""
"MTSPS82","A7","fivedasc_imp_total",-0.301,-0.28,-0.212,0.341,0.379,0.381,"","",""
"MTSPS82","A7","fivedasc_anx_total",-0.285,-0.154,-0.121,0.368,0.635,0.638,"","",""
"MTSPS82","A7","fivedasc_cimg_total",-0.252,-0.067,-0.076,0.429,0.837,0.731,"","",""
"MTSPS82","A7","fivedasc_eimg_total",0.131,0.175,0.121,0.685,0.588,0.638,"","",""
"MTSPS82","A7","fivedasc_av_total",-0.235,-0.28,-0.182,0.462,0.379,0.459,"","",""
"MTSPS82","A7","fivedasc_per_total",0.09,0.189,0.091,0.781,0.558,0.737,"","",""
"MTSPS82","A7","boundlessMean",0.263,0.28,0.152,0.408,0.379,0.545,"","",""
"MTSPS82","A7","anxiousEgoMean",0.014,0.035,-0.03,0.966,0.921,0.947,"","",""
"MTSPS82","A7","visionaryMean",-0.067,-0.035,-0.061,0.837,0.921,0.841,"","",""
"MTSPS82","B30","age",0.202,0.189,0.121,0.529,0.558,0.638,"","",""
"MTSPS82","B30","LED",-0.195,-0.084,-0.029,0.616,0.829,0.916,"","",""
"MTSPS82","B30","severity",0.768,0.769,0.606,0.004,0.005,0.005,"**","**","**"
"MTSPS82","B30","fivedasc_util_total",0.187,0.161,0.061,0.561,0.619,0.841,"","",""
"MTSPS82","B30","fivedasc_sprit_total",0.283,0.273,0.121,0.372,0.391,0.638,"","",""
"MTSPS82","B30","fivedasc_bliss_total",0.205,0.245,0.121,0.523,0.444,0.638,"","",""
"MTSPS82","B30","fivedasc_insight_total",0.346,0.343,0.212,0.27,0.276,0.381,"","",""
"MTSPS82","B30","fivedasc_dis_total",0.419,0.329,0.242,0.175,0.297,0.311,"","",""
"MTSPS82","B30","fivedasc_imp_total",-0.016,0.182,0.152,0.961,0.573,0.545,"","",""
"MTSPS82","B30","fivedasc_anx_total",-0.238,-0.042,0,0.456,0.904,1,"","",""
"MTSPS82","B30","fivedasc_cimg_total",-0.193,-0.098,-0.107,0.549,0.762,0.63,"","",""
"MTSPS82","B30","fivedasc_eimg_total",-0.022,0.105,0.061,0.947,0.749,0.841,"","",""
"MTSPS82","B30","fivedasc_av_total",-0.192,-0.266,-0.242,0.55,0.404,0.311,"","",""
"MTSPS82","B30","fivedasc_per_total",0.065,0.182,0.152,0.84,0.573,0.545,"","",""
"MTSPS82","B30","boundlessMean",0.26,0.21,0.091,0.415,0.514,0.737,"","",""
"MTSPS82","B30","anxiousEgoMean",0.184,0.126,0.152,0.567,0.7,0.545,"","",""
"MTSPS82","B30","visionaryMean",-0.104,-0.203,-0.182,0.748,0.528,0.459,"","",""
"MTSPS82","B7","age",0.38,0.252,0.182,0.223,0.43,0.459,"","",""
"MTSPS82","B7","LED",0.071,0.135,0.087,0.856,0.729,0.75,"","",""
"MTSPS82","B7","severity",0.035,-0.091,-0.121,0.914,0.783,0.638,"","",""
"MTSPS82","B7","fivedasc_util_total",-0.01,0.028,0.061,0.976,0.939,0.841,"","",""
"MTSPS82","B7","fivedasc_sprit_total",0.171,0.091,0.121,0.596,0.783,0.638,"","",""
"MTSPS82","B7","fivedasc_bliss_total",0.034,0.14,0.121,0.916,0.667,0.638,"","",""
