"measure","tp","est","SE","df","t.value","p.value","sig"
"SWMBE4","tp(B7):age",-0.11,0.08,8,-1.49,"0.175",""
"SWMBE4","tp(B30):age",-0.15,0.08,8,-1.99,"0.082",""
"SWMBE4","tp(A7):LED",0,0,8,0.39,"0.707",""
"SWMBE4","tp(B7):LED",0,0,8,0.99,"0.352",""
"SWMBE4","tp(B30):LED",0,0,8,1.96,"0.086",""
"SWMBE4","tp(A7):severity",0.01,0.05,8,0.18,"0.865",""
"SWMBE4","tp(B7):severity",0,0.05,8,0.02,"0.986",""
"SWMBE4","tp(B30):severity",0.04,0.05,8,0.74,"0.478",""
"SWMBE468","(Intercept)",-27.06,27.34,7.7,-0.99,"0.353",""
"SWMBE468","tp(A7)",1.13,36.25,6,0.03,"0.976",""
"SWMBE468","tp(B7)",12.94,36.25,6,0.36,"0.733",""
"SWMBE468","tp(B30)",8.69,36.25,6,0.24,"0.819",""
"SWMBE468","genderM",-4.1,7.31,7.7,-0.56,"0.591",""
"SWMBE468","eduLOE_4",2.08,6.09,7.7,0.34,"0.742",""
"SWMBE468","eduLOE_5",3.83,6.51,7.7,0.59,"0.573",""
"SWMBE468","age",0.27,0.51,7.7,0.54,"0.605",""
"SWMBE468","LED",0.01,0.01,7.7,1.16,"0.281",""
"SWMBE468","severity",0.55,0.34,7.7,1.65,"0.140",""
"SWMBE468","tp(A7):genderM",-3.33,9.69,6,-0.34,"0.743",""
"SWMBE468","tp(B7):genderM",-8.78,9.69,6,-0.91,"0.400",""
"SWMBE468","tp(B30):genderM",-1.6,9.69,6,-0.17,"0.874",""
"SWMBE468","tp(A7):eduLOE_4",0.12,8.07,6,0.01,"0.989",""
"SWMBE468","tp(B7):eduLOE_4",8.59,8.07,6,1.06,"0.328",""
"SWMBE468","tp(B30):eduLOE_4",0.5,8.07,6,0.06,"0.953",""
"SWMBE468","tp(A7):eduLOE_5",3.38,8.63,6,0.39,"0.709",""
"SWMBE468","tp(B7):eduLOE_5",9.32,8.63,6,1.08,"0.322",""
"SWMBE468","tp(B30):eduLOE_5",4.28,8.63,6,0.5,"0.638",""
"SWMBE468","tp(A7):age",-0.15,0.67,6,-0.22,"0.831",""
"SWMBE468","tp(B7):age",-0.3,0.67,6,-0.45,"0.669",""
"SWMBE468","tp(B30):age",0.05,0.67,6,0.07,"0.948",""
"SWMBE468","tp(A7):LED",0.01,0.02,6,0.45,"0.671",""
"SWMBE468","tp(B7):LED",0,0.02,6,-0.01,"0.996",""
"SWMBE468","tp(B30):LED",-0.01,0.02,6,-0.48,"0.649",""
"SWMBE468","tp(A7):severity",0.02,0.45,6,0.05,"0.958",""
"SWMBE468","tp(B7):severity",-0.06,0.45,6,-0.15,"0.889",""
"SWMBE468","tp(B30):severity",-0.34,0.45,6,-0.75,"0.479",""
"SWMBE6","(Intercept)",-8.28,11.06,8,-0.75,"0.475",""
"SWMBE6","tp(A7)",2.79,15.64,8,0.18,"0.863",""
"SWMBE6","tp(B7)",8.55,15.64,8,0.55,"0.599",""
"SWMBE6","tp(B30)",6.87,15.64,8,0.44,"0.672",""
"SWMBE6","genderM",0.23,2.96,8,0.08,"0.941",""
"SWMBE6","eduLOE_4",2.07,2.46,8,0.84,"0.425",""
"SWMBE6","eduLOE_5",2.05,2.63,8,0.78,"0.458",""
"SWMBE6","age",0.11,0.21,8,0.56,"0.591",""
"SWMBE6","LED",0,0,8,0.45,"0.661",""
"SWMBE6","severity",0.1,0.14,8,0.77,"0.465",""
"SWMBE6","tp(A7):genderM",-0.79,4.18,8,-0.19,"0.855",""
"SWMBE6","tp(B7):genderM",-2.43,4.18,8,-0.58,"0.577",""
"SWMBE6","tp(B30):genderM",-2.52,4.18,8,-0.6,"0.563",""
"SWMBE6","tp(A7):eduLOE_4",-1.22,3.48,8,-0.35,"0.735",""
"SWMBE6","tp(B7):eduLOE_4",-1.46,3.48,8,-0.42,"0.685",""
"SWMBE6","tp(B30):eduLOE_4",0.35,3.48,8,0.1,"0.923",""
"SWMBE6","tp(A7):eduLOE_5",2.87,3.72,8,0.77,"0.463",""
"SWMBE6","tp(B7):eduLOE_5",2.68,3.72,8,0.72,"0.492",""
"SWMBE6","tp(B30):eduLOE_5",2.69,3.72,8,0.72,"0.490",""
"SWMBE6","tp(A7):age",-0.05,0.29,8,-0.17,"0.868",""
"SWMBE6","tp(B7):age",-0.15,0.29,8,-0.51,"0.625",""
"SWMBE6","tp(B30):age",-0.16,0.29,8,-0.55,"0.596",""
"SWMBE6","tp(A7):LED",0,0.01,8,0.2,"0.844",""
"SWMBE6","tp(B7):LED",0,0.01,8,-0.18,"0.861",""
"SWMBE6","tp(B30):LED",0,0.01,8,0.05,"0.960",""
"SWMBE6","tp(A7):severity",-0.09,0.19,8,-0.46,"0.658",""
"SWMBE6","tp(B7):severity",-0.01,0.19,8,-0.04,"0.973",""
"SWMBE6","tp(B30):severity",0.05,0.19,8,0.24,"0.818",""
"SWMBE8","(Intercept)",-15.58,18.56,7.7,-0.84,"0.426",""
"SWMBE8","tp(A7)",-1.04,24.79,6,-0.04,"0.968",""
"SWMBE8","tp(B7)",0.1,24.79,6,0,"0.997",""
"SWMBE8","tp(B30)",-3.67,24.79,6,-0.15,"0.887",""
"SWMBE8","genderM",-4.63,4.96,7.7,-0.93,"0.379",""
"SWMBE8","eduLOE_4",1.68,4.13,7.7,0.41,"0.695",""
"SWMBE8","eduLOE_5",1.82,4.42,7.7,0.41,"0.692",""
"SWMBE8","age",0.08,0.34,7.7,0.24,"0.814",""
"SWMBE8","LED",0.01,0.01,7.7,1.37,"0.210",""
"SWMBE8","severity",0.42,0.23,7.7,1.85,"0.102",""
"SWMBE8","tp(A7):genderM",-1.09,6.63,6,-0.16,"0.875",""
"SWMBE8","tp(B7):genderM",-5.2,6.63,6,-0.78,"0.463",""
"SWMBE8","tp(B30):genderM",2.63,6.63,6,0.4,"0.706",""
"SWMBE8","tp(A7):eduLOE_4",-1.33,5.52,6,-0.24,"0.817",""
"SWMBE8","tp(B7):eduLOE_4",8.09,5.52,6,1.47,"0.193",""
"SWMBE8","tp(B30):eduLOE_4",-1.52,5.52,6,-0.28,"0.792",""
"SWMBE8","tp(A7):eduLOE_5",-0.92,5.9,6,-0.16,"0.881",""
"SWMBE8","tp(B7):eduLOE_5",6.34,5.9,6,1.07,"0.324",""
"SWMBE8","tp(B30):eduLOE_5",1.75,5.9,6,0.3,"0.777",""
"SWMBE8","tp(A7):age",-0.07,0.46,6,-0.14,"0.892",""
"SWMBE8","tp(B7):age",-0.04,0.46,6,-0.09,"0.934",""
"SWMBE8","tp(B30):age",0.36,0.46,6,0.78,"0.465",""
"SWMBE8","tp(A7):LED",0,0.01,6,0.46,"0.662",""
"SWMBE8","tp(B7):LED",0,0.01,6,-0.06,"0.954",""
"SWMBE8","tp(B30):LED",-0.01,0.01,6,-1.06,"0.329",""
"SWMBE8","tp(A7):severity",0.1,0.3,6,0.34,"0.745",""
"SWMBE8","tp(B7):severity",-0.06,0.3,6,-0.19,"0.852",""
"SWMBE8","tp(B30):severity",-0.42,0.3,6,-1.38,"0.217",""
"SWMS","(Intercept)",-10.79,8.21,6.7,-1.31,"0.232",""
"SWMS","tp(A7)",-2.38,10.06,6,-0.24,"0.821",""
"SWMS","tp(B7)",6.59,10.06,6,0.65,"0.537",""
"SWMS","tp(B30)",-0.87,10.06,6,-0.09,"0.934",""
"SWMS","genderM",-0.87,2.19,6.7,-0.4,"0.704",""
"SWMS","eduLOE_4",2.36,1.83,6.7,1.29,"0.238",""
"SWMS","eduLOE_5",2.57,1.95,6.7,1.31,"0.232",""
"SWMS","age",0.26,0.15,6.7,1.74,"0.128",""
"SWMS","LED",0,0,6.7,-0.08,"0.940",""
"SWMS","severity",0,0.1,6.7,0.04,"0.973",""
"SWMS","tp(A7):genderM",-2.5,2.69,6,-0.93,"0.388",""
"SWMS","tp(B7):genderM",-3.68,2.69,6,-1.37,"0.220",""
"SWMS","tp(B30):genderM",-1.28,2.69,6,-0.48,"0.650",""
"SWMS","tp(A7):eduLOE_4",-0.43,2.24,6,-0.19,"0.855",""
"SWMS","tp(B7):eduLOE_4",-0.1,2.24,6,-0.04,"0.967",""
"SWMS","tp(B30):eduLOE_4",0.03,2.24,6,0.01,"0.989",""
"SWMS","tp(A7):eduLOE_5",0.07,2.4,6,0.03,"0.977",""
"SWMS","tp(B7):eduLOE_5",1.21,2.4,6,0.5,"0.632",""
"SWMS","tp(B30):eduLOE_5",-0.37,2.4,6,-0.15,"0.882",""
"SWMS","tp(A7):age",-0.09,0.19,6,-0.49,"0.643",""
"SWMS","tp(B7):age",-0.29,0.19,6,-1.57,"0.167",""
"SWMS","tp(B30):age",-0.1,0.19,6,-0.56,"0.596",""
"SWMS","tp(A7):LED",0.01,0,6,1.45,"0.198",""
"SWMS","tp(B7):LED",0.01,0,6,1.8,"0.122",""
"SWMS","tp(B30):LED",0.01,0,6,1.39,"0.213",""
"SWMS","tp(A7):severity",0.18,0.12,6,1.43,"0.202",""
"SWMS","tp(B7):severity",0.26,0.12,6,2.14,"0.076",""
"SWMS","tp(B30):severity",0.13,0.12,6,1.07,"0.326",""
"CCFQ","(Intercept)",34.81,27.54,4.5,1.26,"0.268",""
"CCFQ","tp(A7)",1,27.11,6,0.04,"0.972",""
"CCFQ","tp(B7)",46.62,27.11,6,1.72,"0.136",""
"CCFQ","tp(B30)",67.09,27.11,6,2.47,"0.048","*"
"CCFQ","genderM",-13.6,7.36,4.5,-1.85,"0.131",""
"CCFQ","eduLOE_4",7.59,6.13,4.5,1.24,"0.277",""
"CCFQ","eduLOE_5",-10.43,6.56,4.5,-1.59,"0.180",""
"CCFQ","age",0.38,0.51,4.5,0.75,"0.491",""
"CCFQ","LED",0.02,0.01,4.5,1.38,"0.233",""
"CCFQ","severity",0.25,0.34,4.5,0.75,"0.490",""
"CCFQ","tp(A7):genderM",-6.97,7.25,6,-0.96,"0.373",""
"CCFQ","tp(B7):genderM",8.73,7.25,6,1.2,"0.274",""
"CCFQ","tp(B30):genderM",-8.64,7.25,6,-1.19,"0.278",""
"CCFQ","tp(A7):eduLOE_4",-1.24,6.04,6,-0.21,"0.844",""
"CCFQ","tp(B7):eduLOE_4",-5.93,6.04,6,-0.98,"0.364",""
"CCFQ","tp(B30):eduLOE_4",-8.41,6.04,6,-1.39,"0.213",""
"CCFQ","tp(A7):eduLOE_5",-3.49,6.45,6,-0.54,"0.608",""
"CCFQ","tp(B7):eduLOE_5",0.28,6.45,6,0.04,"0.967",""
"CCFQ","tp(B30):eduLOE_5",-19.99,6.45,6,-3.1,"0.021","*"
"CCFQ","tp(A7):age",-0.17,0.5,6,-0.33,"0.750",""
"CCFQ","tp(B7):age",-0.5,0.5,6,-0.99,"0.360",""
"CCFQ","tp(B30):age",-1.15,0.5,6,-2.28,"0.063",""
"CCFQ","tp(A7):LED",0,0.01,6,0.31,"0.764",""
"CCFQ","tp(B7):LED",-0.01,0.01,6,-1.1,"0.312",""
"CCFQ","tp(B30):LED",0.01,0.01,6,1.13,"0.301",""
"CCFQ","tp(A7):severity",0.49,0.33,6,1.47,"0.192",""
"CCFQ","tp(B7):severity",-0.14,0.33,6,-0.43,"0.682",""
"CCFQ","tp(B30):severity",0.6,0.33,6,1.81,"0.120",""
"CSSRS","(Intercept)",-5.96,3.77,8,-1.58,"0.152",""
"CSSRS","tp(A7)",4.55,5.22,6,0.87,"0.417",""
"CSSRS","tp(B7)",4.35,5.22,6,0.83,"0.437",""
"CSSRS","tp(B30)",4.55,5.22,6,0.87,"0.417",""
"CSSRS","genderM",0.31,1.01,8,0.31,"0.764",""
"CSSRS","eduLOE_4",0.53,0.84,8,0.63,"0.548",""
"CSSRS","eduLOE_5",-0.22,0.9,8,-0.24,"0.814",""
"CSSRS","age",0.1,0.07,8,1.46,"0.183",""
