"measure","tp","est","SE","df","t.value","p.value","sig"
"HAMA","tp(A7):eduLOE_5",3.32,2.87,6,1.16,"0.291",""
"HAMA","tp(B7):eduLOE_5",-11.58,2.87,6,-4.04,"0.007","**"
"HAMA","tp(B30):eduLOE_5",-10.38,2.87,6,-3.62,"0.011","*"
"HAMA","tp(A7):age",0.52,0.22,6,2.34,"0.058",""
"HAMA","tp(B7):age",-0.04,0.22,6,-0.18,"0.866",""
"HAMA","tp(B30):age",-0.17,0.22,6,-0.75,"0.484",""
"HAMA","tp(A7):LED",0,0.01,6,0.19,"0.857",""
"HAMA","tp(B7):LED",0.01,0.01,6,1.38,"0.216",""
"HAMA","tp(B30):LED",0.02,0.01,6,4.96,"0.003","**"
"HAMA","tp(A7):severity",-0.22,0.15,6,-1.52,"0.179",""
"HAMA","tp(B7):severity",0.31,0.15,6,2.07,"0.084",""
"HAMA","tp(B30):severity",0.58,0.15,6,3.89,"0.008","**"
"MADRS","(Intercept)",74.46,48.03,2.9,1.55,"0.221",""
"MADRS","tp(A7)",-66.51,33.14,6,-2.01,"0.092",""
"MADRS","tp(B7)",-48.45,33.14,6,-1.46,"0.194",""
"MADRS","tp(B30)",-68.27,33.14,6,-2.06,"0.085",""
"MADRS","genderM",-8.51,12.84,2.9,-0.66,"0.556",""
"MADRS","eduLOE_4",-0.28,10.69,2.9,-0.03,"0.981",""
"MADRS","eduLOE_5",3.39,11.43,2.9,0.3,"0.787",""
"MADRS","age",-0.81,0.89,2.9,-0.91,"0.433",""
"MADRS","LED",0,0.02,2.9,0.08,"0.939",""
"MADRS","severity",0.13,0.59,2.9,0.22,"0.843",""
"MADRS","tp(A7):genderM",8.16,8.86,6,0.92,"0.393",""
"MADRS","tp(B7):genderM",-3.98,8.86,6,-0.45,"0.669",""
"MADRS","tp(B30):genderM",2.27,8.86,6,0.26,"0.806",""
"MADRS","tp(A7):eduLOE_4",-11.43,7.38,6,-1.55,"0.172",""
"MADRS","tp(B7):eduLOE_4",-5.59,7.38,6,-0.76,"0.478",""
"MADRS","tp(B30):eduLOE_4",-16.95,7.38,6,-2.3,"0.061",""
"MADRS","tp(A7):eduLOE_5",-4.45,7.89,6,-0.56,"0.593",""
"MADRS","tp(B7):eduLOE_5",-12.29,7.89,6,-1.56,"0.170",""
"MADRS","tp(B30):eduLOE_5",-20.54,7.89,6,-2.6,"0.040","*"
"MADRS","tp(A7):age",0.96,0.61,6,1.56,"0.170",""
"MADRS","tp(B7):age",0.5,0.61,6,0.81,"0.447",""
"MADRS","tp(B30):age",0.87,0.61,6,1.41,"0.208",""
"MADRS","tp(A7):LED",0.01,0.01,6,0.74,"0.487",""
"MADRS","tp(B7):LED",0.01,0.01,6,0.48,"0.651",""
"MADRS","tp(B30):LED",0.02,0.01,6,1.54,"0.173",""
"MADRS","tp(A7):severity",-0.11,0.41,6,-0.26,"0.804",""
"MADRS","tp(B7):severity",0.33,0.41,6,0.81,"0.448",""
"MADRS","tp(B30):severity",0.06,0.41,6,0.14,"0.896",""
"PLR","(Intercept)",15.12,11.95,2.3,1.27,"0.319",""
"PLR","tp(A7)",-11.38,6.59,1,-1.73,"0.335",""
"PLR","tp(B7)",-20.47,6.6,1,-3.1,"0.201",""
"PLR","tp(B30)",-44.08,19.03,1.1,-2.32,"0.237",""
"PLR","genderM",1.22,3.4,2.7,0.36,"0.747",""
"PLR","eduLOE_4",-2.17,3.43,2.9,-0.63,"0.573",""
"PLR","eduLOE_5",-0.04,3.4,3,-0.01,"0.991",""
"PLR","age",-0.22,0.23,2.5,-0.99,"0.409",""
"PLR","LED",0,0.01,2.6,0.12,"0.916",""
"PLR","severity",0.11,0.17,3,0.66,"0.556",""
"PLR","tp(A7):genderM",-0.49,2.11,1,-0.23,"0.855",""
"PLR","tp(B7):genderM",-1.3,3.31,1.1,-0.39,"0.756",""
"PLR","tp(B30):genderM",-0.42,2.07,1,-0.2,"0.873",""
"PLR","tp(A7):eduLOE_4",0.49,2.61,1.1,0.19,"0.880",""
"PLR","tp(B7):eduLOE_4",2.03,3.33,1.1,0.61,"0.641",""
"PLR","tp(B30):eduLOE_4",1.13,2.63,1,0.43,"0.742",""
"PLR","tp(A7):eduLOE_5",-1.35,2.43,1,-0.55,"0.677",""
"PLR","tp(B7):eduLOE_5",-1.21,2.43,1,-0.5,"0.705",""
"PLR","tp(B30):eduLOE_5",0.03,2.7,1,0.01,"0.992",""
"PLR","tp(A7):age",0.24,0.13,1,1.83,"0.318",""
"PLR","tp(B7):age",0.45,0.13,1,3.4,"0.183",""
"PLR","tp(B30):age",0.77,0.33,1.1,2.31,"0.239",""
"PLR","tp(A7):LED",0,0,1,0.42,"0.744",""
"PLR","tp(B7):LED",0,0,1,-0.22,"0.859",""
"PLR","tp(B30):LED",0,0,1,-0.64,"0.638",""
"PLR","tp(A7):severity",-0.12,0.12,1,-1.06,"0.478",""
"PLR","tp(B7):severity",-0.22,0.12,1,-1.89,"0.309",""
"PLR","tp(B30):severity",-0.17,0.15,1.1,-1.13,"0.452",""
"UPDRS_1","(Intercept)",28.28,16.75,8,1.69,"0.130",""
"UPDRS_1","tp(A7)",-25.19,23.69,8,-1.06,"0.319",""
"UPDRS_1","tp(B7)",-22.15,23.69,8,-0.94,"0.377",""
"UPDRS_1","tp(B30)",-34.3,23.69,8,-1.45,"0.186",""
"UPDRS_1","genderM",-9.85,4.48,8,-2.2,"0.059",""
"UPDRS_1","eduLOE_4",-2.94,3.73,8,-0.79,"0.454",""
"UPDRS_1","eduLOE_5",-3.39,3.99,8,-0.85,"0.420",""
"UPDRS_1","age",-0.34,0.31,8,-1.09,"0.306",""
"UPDRS_1","LED",0.01,0.01,8,1.72,"0.123",""
"UPDRS_1","severity",0.51,0.21,8,2.48,"0.038","*"
"UPDRS_1","tp(A7):genderM",9.04,6.33,8,1.43,"0.191",""
"UPDRS_1","tp(B7):genderM",10.28,6.33,8,1.62,"0.143",""
"UPDRS_1","tp(B30):genderM",7.83,6.33,8,1.24,"0.251",""
"UPDRS_1","tp(A7):eduLOE_4",2.44,5.27,8,0.46,"0.655",""
"UPDRS_1","tp(B7):eduLOE_4",0.05,5.27,8,0.01,"0.992",""
"UPDRS_1","tp(B30):eduLOE_4",-2.7,5.27,8,-0.51,"0.623",""
"UPDRS_1","tp(A7):eduLOE_5",6.5,5.64,8,1.15,"0.282",""
"UPDRS_1","tp(B7):eduLOE_5",4.52,5.64,8,0.8,"0.446",""
"UPDRS_1","tp(B30):eduLOE_5",-1.63,5.64,8,-0.29,"0.780",""
"UPDRS_1","tp(A7):age",0.37,0.44,8,0.84,"0.426",""
"UPDRS_1","tp(B7):age",0.36,0.44,8,0.81,"0.439",""
"UPDRS_1","tp(B30):age",0.5,0.44,8,1.15,"0.284",""
"UPDRS_1","tp(A7):LED",0,0.01,8,-0.47,"0.652",""
"UPDRS_1","tp(B7):LED",-0.01,0.01,8,-1.23,"0.254",""
"UPDRS_1","tp(B30):LED",-0.01,0.01,8,-0.59,"0.574",""
"UPDRS_1","tp(A7):severity",-0.45,0.29,8,-1.54,"0.163",""
"UPDRS_1","tp(B7):severity",-0.48,0.29,8,-1.66,"0.136",""
"UPDRS_1","tp(B30):severity",-0.4,0.29,8,-1.36,"0.210",""
"UPDRS_2","(Intercept)",16.07,16.45,2.3,0.98,"0.420",""
"UPDRS_2","tp(A7)",0.44,6.93,6,0.06,"0.952",""
"UPDRS_2","tp(B7)",-10.97,6.93,6,-1.58,"0.165",""
"UPDRS_2","tp(B30)",-18.19,6.93,6,-2.63,"0.039","*"
"UPDRS_2","genderM",-0.16,4.4,2.3,-0.04,"0.974",""
"UPDRS_2","eduLOE_4",-8.59,3.66,2.3,-2.35,"0.127",""
"UPDRS_2","eduLOE_5",-1.08,3.92,2.3,-0.28,"0.805",""
"UPDRS_2","age",-0.13,0.31,2.3,-0.41,"0.714",""
"UPDRS_2","LED",0,0.01,2.3,-0.58,"0.615",""
"UPDRS_2","severity",0.38,0.2,2.3,1.89,"0.183",""
"UPDRS_2","tp(A7):genderM",-2.4,1.85,6,-1.3,"0.243",""
"UPDRS_2","tp(B7):genderM",1.92,1.85,6,1.04,"0.339",""
"UPDRS_2","tp(B30):genderM",2.72,1.85,6,1.47,"0.192",""
"UPDRS_2","tp(A7):eduLOE_4",4.38,1.54,6,2.84,"0.030","*"
"UPDRS_2","tp(B7):eduLOE_4",3.12,1.54,6,2.02,"0.090",""
"UPDRS_2","tp(B30):eduLOE_4",2.95,1.54,6,1.91,"0.104",""
"UPDRS_2","tp(A7):eduLOE_5",-3.54,1.65,6,-2.15,"0.075",""
"UPDRS_2","tp(B7):eduLOE_5",-5.52,1.65,6,-3.35,"0.015","*"
"UPDRS_2","tp(B30):eduLOE_5",-1.48,1.65,6,-0.9,"0.405",""
"UPDRS_2","tp(A7):age",-0.16,0.13,6,-1.26,"0.256",""
"UPDRS_2","tp(B7):age",0.01,0.13,6,0.1,"0.927",""
"UPDRS_2","tp(B30):age",0.14,0.13,6,1.09,"0.316",""
"UPDRS_2","tp(A7):LED",0.01,0,6,1.82,"0.118",""
"UPDRS_2","tp(B7):LED",0.01,0,6,3.1,"0.021","*"
"UPDRS_2","tp(B30):LED",0.01,0,6,1.76,"0.128",""
"UPDRS_2","tp(A7):severity",0.11,0.09,6,1.3,"0.243",""
"UPDRS_2","tp(B7):severity",-0.06,0.09,6,-0.68,"0.521",""
"UPDRS_2","tp(B30):severity",-0.11,0.09,6,-1.28,"0.246",""
"UPDRS_3","(Intercept)",0,19.33,3.9,0,"1.000",""
"UPDRS_3","tp(A7)",-48.35,17.59,6,-2.75,"0.033","*"
"UPDRS_3","tp(B7)",-41.53,17.59,6,-2.36,"0.056",""
"UPDRS_3","tp(B30)",-31.02,17.59,6,-1.76,"0.128",""
"UPDRS_3","genderM",0,5.17,3.9,0,"1.000",""
"UPDRS_3","eduLOE_4",0,4.3,3.9,0,"1.000",""
"UPDRS_3","eduLOE_5",0,4.6,3.9,0,"1.000",""
"UPDRS_3","age",0,0.36,3.9,0,"1.000",""
"UPDRS_3","LED",0,0.01,3.9,0,"1.000",""
"UPDRS_3","severity",1,0.24,3.9,4.21,"0.014","*"
"UPDRS_3","tp(A7):genderM",1.42,4.7,6,0.3,"0.773",""
"UPDRS_3","tp(B7):genderM",8.88,4.7,6,1.89,"0.108",""
"UPDRS_3","tp(B30):genderM",-0.39,4.7,6,-0.08,"0.936",""
"UPDRS_3","tp(A7):eduLOE_4",-4.22,3.91,6,-1.08,"0.322",""
"UPDRS_3","tp(B7):eduLOE_4",-1.44,3.91,6,-0.37,"0.725",""
"UPDRS_3","tp(B30):eduLOE_4",-1.17,3.91,6,-0.3,"0.774",""
"UPDRS_3","tp(A7):eduLOE_5",-6.97,4.19,6,-1.66,"0.147",""
"UPDRS_3","tp(B7):eduLOE_5",-0.62,4.19,6,-0.15,"0.886",""
"UPDRS_3","tp(B30):eduLOE_5",-7.77,4.19,6,-1.86,"0.113",""
"UPDRS_3","tp(A7):age",0.72,0.33,6,2.22,"0.068",""
"UPDRS_3","tp(B7):age",0.75,0.33,6,2.29,"0.062",""
"UPDRS_3","tp(B30):age",0.32,0.33,6,0.99,"0.358",""
"UPDRS_3","tp(A7):LED",0.01,0.01,6,1.02,"0.345",""
"UPDRS_3","tp(B7):LED",0,0.01,6,0.18,"0.862",""
"UPDRS_3","tp(B30):LED",0.01,0.01,6,1.71,"0.137",""
"UPDRS_3","tp(A7):severity",-0.09,0.22,6,-0.41,"0.694",""
"UPDRS_3","tp(B7):severity",-0.41,0.22,6,-1.91,"0.105",""
"UPDRS_3","tp(B30):severity",0.07,0.22,6,0.35,"0.741",""
"UPDRS_4","(Intercept)",17.44,6.26,3,2.78,"0.070",""
"UPDRS_4","tp(A7)",-2.08,4.75,4,-0.44,"0.684",""
"UPDRS_4","tp(B7)",-7.81,4.73,4,-1.65,"0.174",""
"UPDRS_4","tp(B30)",-5.97,5.35,4,-1.12,"0.326",""
"UPDRS_4","genderM",-3.25,1.67,3,-1.94,"0.149",""
"UPDRS_4","eduLOE_4",-1.78,1.39,3,-1.28,"0.293",""
"UPDRS_4","eduLOE_5",-3.55,1.49,3,-2.38,"0.099",""
"UPDRS_4","age",-0.4,0.12,3,-3.46,"0.041","*"
"UPDRS_4","LED",0.01,0,3,3.8,"0.033","*"
"UPDRS_4","severity",0.28,0.08,3,3.62,"0.037","*"
"UPDRS_4","tp(A7):genderM",1.17,1.27,4,0.93,"0.407",""
"UPDRS_4","tp(B7):genderM",2.82,1.26,4,2.23,"0.090",""
"UPDRS_4","tp(B30):genderM",1.17,1.63,4.1,0.72,"0.513",""
"UPDRS_4","tp(A7):eduLOE_4",0.58,1.05,4,0.55,"0.609",""
"UPDRS_4","tp(B7):eduLOE_4",0.69,1.05,4,0.66,"0.546",""
"UPDRS_4","tp(B30):eduLOE_4",0.68,1.05,4,0.65,"0.551",""
"UPDRS_4","tp(A7):eduLOE_5",0.59,1.22,4,0.48,"0.654",""
"UPDRS_4","tp(B7):eduLOE_5",2.82,1.13,4,2.5,"0.067",""
"UPDRS_4","tp(B30):eduLOE_5",1.32,1.14,4,1.17,"0.309",""
"UPDRS_4","tp(A7):age",0.07,0.09,4,0.74,"0.501",""
"UPDRS_4","tp(B7):age",0.2,0.09,4,2.3,"0.083",""
"UPDRS_4","tp(B30):age",0.14,0.11,4.1,1.31,"0.261",""
"UPDRS_4","tp(A7):LED",0,0,4,-1.41,"0.231",""
"UPDRS_4","tp(B7):LED",-0.01,0,4,-3.47,"0.026","*"
"UPDRS_4","tp(B30):LED",0,0,4,-1.81,"0.144",""
"UPDRS_4","tp(A7):severity",-0.07,0.06,4,-1.19,"0.299",""
"UPDRS_4","tp(B7):severity",-0.16,0.06,4,-2.73,"0.052",""
"UPDRS_4","tp(B30):severity",-0.1,0.08,4.1,-1.32,"0.257",""
"UPDRS_SUM","(Intercept)",61.79,36.33,3.6,1.7,"0.173",""
"UPDRS_SUM","tp(A7)",-73.15,33.53,4,-2.18,"0.095",""
"UPDRS_SUM","tp(B7)",-82.46,33.38,4,-2.47,"0.069",""
"UPDRS_SUM","tp(B30)",-91.58,37.7,4.1,-2.43,"0.071",""
"UPDRS_SUM","genderM",-13.25,9.71,3.6,-1.36,"0.252",""
"UPDRS_SUM","eduLOE_4",-13.31,8.09,3.6,-1.65,"0.184",""
"UPDRS_SUM","eduLOE_5",-8.03,8.65,3.6,-0.93,"0.412",""
"UPDRS_SUM","age",-0.87,0.67,3.6,-1.29,"0.274",""
"UPDRS_SUM","LED",0.02,0.02,3.6,1.19,"0.308",""
"UPDRS_SUM","severity",2.17,0.45,3.6,4.86,"0.011","*"
"UPDRS_SUM","tp(A7):genderM",9.66,8.95,4,1.08,"0.341",""
"UPDRS_SUM","tp(B7):genderM",23.89,8.92,4,2.68,"0.056",""
"UPDRS_SUM","tp(B30):genderM",12.19,11.48,4.1,1.06,"0.346",""
"UPDRS_SUM","tp(A7):eduLOE_4",3.21,7.43,4,0.43,"0.688",""
"UPDRS_SUM","tp(B7):eduLOE_4",2.42,7.43,4,0.33,"0.761",""
"UPDRS_SUM","tp(B30):eduLOE_4",-0.2,7.44,4,-0.03,"0.980",""
"UPDRS_SUM","tp(A7):eduLOE_5",-5.55,8.62,4,-0.64,"0.554",""
"UPDRS_SUM","tp(B7):eduLOE_5",1.18,7.95,4,0.15,"0.889",""
"UPDRS_SUM","tp(B30):eduLOE_5",-9.42,8.02,4,-1.17,"0.306",""
"UPDRS_SUM","tp(A7):age",0.93,0.63,4,1.48,"0.214",""
"UPDRS_SUM","tp(B7):age",1.32,0.62,4,2.13,"0.101",""
"UPDRS_SUM","tp(B30):age",1.16,0.76,4.1,1.53,"0.198",""
"UPDRS_SUM","tp(A7):LED",0.01,0.01,4,0.55,"0.609",""
"UPDRS_SUM","tp(B7):LED",-0.01,0.01,4,-0.62,"0.567",""
"UPDRS_SUM","tp(B30):LED",0.01,0.01,4,0.5,"0.640",""
"UPDRS_SUM","tp(A7):severity",-0.47,0.41,4,-1.13,"0.321",""
"UPDRS_SUM","tp(B7):severity",-1.11,0.41,4,-2.71,"0.054",""
"UPDRS_SUM","tp(B30):severity",-0.57,0.54,4.2,-1.07,"0.343",""
